Entry	Gene ontology (biological process)
Q9PTN2	calcium ion homeostasis [GO:0055074]; cell differentiation [GO:0030154]; cholesterol homeostasis [GO:0042632]; heart jogging [GO:0003146]; heart looping [GO:0001947]; hematopoietic stem cell proliferation [GO:0071425]; lipid homeostasis [GO:0055088]; lipid metabolic process [GO:0006629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; ossification [GO:0001503]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]
Q1L673	cell differentiation [GO:0030154]; cholesterol homeostasis [GO:0042632]; heart jogging [GO:0003146]; heart looping [GO:0001947]; inner ear receptor cell development [GO:0060119]; lipid homeostasis [GO:0055088]; lipid metabolic process [GO:0006629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; otic vesicle development [GO:0071599]; positive regulation of transcription by RNA polymerase II [GO:0045944]
P79734	apoptotic process [GO:0006915]; apoptotic process involved in blood vessel morphogenesis [GO:1902262]; autophagy [GO:0006914]; cell cycle [GO:0007049]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hypoxia [GO:0071456]; cellular senescence [GO:0090398]; definitive hemopoiesis [GO:0060216]; DNA damage checkpoint [GO:0000077]; DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:0006978]; epidermis morphogenesis [GO:0048730]; erythrocyte development [GO:0048821]; erythrocyte maturation [GO:0043249]; hematopoietic stem cell homeostasis [GO:0061484]; intestinal epithelial structure maintenance [GO:0060729]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell cycle [GO:0045786]; negative regulation of cell division [GO:0051782]; negative regulation of transposition, RNA-mediated [GO:0010526]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell cycle [GO:0045787]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein tetramerization [GO:0051262]; regulation of double-strand break repair [GO:2000779]; regulation of protein stability [GO:0031647]; regulation of transcription by RNA polymerase II [GO:0006357]; response to methylmercury [GO:0051597]; response to UV [GO:0009411]; response to X-ray [GO:0010165]; spermatogenesis [GO:0007283]
Q6NZ04	adenohypophysis development [GO:0021984]; anatomical structure development [GO:0048856]; apoptotic process [GO:0006915]; extraocular skeletal muscle development [GO:0002074]; inner ear development [GO:0048839]; negative regulation of transcription, DNA-templated [GO:0045892]; peripheral nervous system neuron development [GO:0048935]; pharyngeal muscle development [GO:0043282]; regulation of skeletal muscle cell proliferation [GO:0014857]; skeletal muscle fiber development [GO:0048741]; skeletal muscle tissue development [GO:0007519]; striated muscle cell differentiation [GO:0051146]
Q90416	anatomical structure development [GO:0048856]; cell differentiation [GO:0030154]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; response to retinoic acid [GO:0032526]; retinoic acid receptor signaling pathway [GO:0048384]
Q92050	ameboidal-type cell migration [GO:0001667]; angiogenesis [GO:0001525]; canonical Wnt signaling pathway [GO:0060070]; cartilage morphogenesis [GO:0060536]; cell fate commitment [GO:0045165]; cell migration involved in gastrulation [GO:0042074]; chondrocyte differentiation [GO:0002062]; convergent extension [GO:0060026]; convergent extension involved in axis elongation [GO:0060028]; convergent extension involved in gastrulation [GO:0060027]; dorsal convergence [GO:0060030]; embryonic body morphogenesis [GO:0010172]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic viscerocranium morphogenesis [GO:0048703]; endochondral ossification [GO:0001958]; endocrine pancreas development [GO:0031018]; fin regeneration [GO:0031101]; lymphangiogenesis [GO:0001946]; neuromast development [GO:0048884]; neuron differentiation [GO:0030182]; ossification [GO:0001503]; otolith development [GO:0048840]; post-anal tail morphogenesis [GO:0036342]; regulation of Wnt signaling pathway, calcium modulating pathway [GO:0008591]; release of sequestered calcium ion into cytosol [GO:0051209]; skeletal system development [GO:0001501]; somite development [GO:0061053]; thrombocyte differentiation [GO:0002574]; unidimensional cell growth [GO:0009826]; Wnt signaling pathway, calcium modulating pathway [GO:0007223]
Q90417	anatomical structure development [GO:0048856]; cell differentiation [GO:0030154]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; response to retinoic acid [GO:0032526]; retinoic acid receptor signaling pathway [GO:0048384]
P35359	absorption of visible light [GO:0016038]; cellular response to light stimulus [GO:0071482]; detection of light stimulus [GO:0009583]; G protein-coupled receptor signaling pathway [GO:0007186]; phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]; rhodopsin mediated signaling pathway [GO:0016056]; visual perception [GO:0007601]
Q7SYN5	anatomical structure development [GO:0048856]; cell differentiation [GO:0030154]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; response to retinoic acid [GO:0032526]; retinoic acid receptor signaling pathway [GO:0048384]
Q90423	establishment of mitotic spindle orientation [GO:0000132]; fourth ventricle development [GO:0021592]; hindbrain development [GO:0030902]; hindbrain morphogenesis [GO:0021575]; neural keel formation [GO:0014025]; nucleosome organization [GO:0034728]; otic vesicle development [GO:0071599]; positive regulation of histone acetylation [GO:0035066]; regulation of histone methylation [GO:0031060]; regulation of transcription, DNA-templated [GO:0006355]; rhombomere 4 development [GO:0021570]; rhombomere 4 formation [GO:0021663]; rhombomere morphogenesis [GO:0021593]
O42606	anterior lateral line nerve development [GO:0048909]; axonal fasciculation [GO:0007413]; axon regeneration [GO:0031103]; dorsal spinal cord development [GO:0021516]; forebrain neuron development [GO:0021884]; generation of neurons [GO:0048699]; habenula development [GO:0021986]; hindbrain morphogenesis [GO:0021575]; negative regulation of neurogenesis [GO:0050768]; nervous system development [GO:0007399]; neuromast development [GO:0048884]; olfactory bulb development [GO:0021772]; olfactory placode development [GO:0071698]; peripheral nervous system development [GO:0007422]; peripheral nervous system neuron development [GO:0048935]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; posterior lateral line nerve development [GO:0048918]
O57474	bone growth [GO:0098868]; bone morphogenesis [GO:0060349]; caudal fin morphogenesis [GO:0035143]; cell-cell signaling [GO:0007267]; cell communication [GO:0007154]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; embryonic heart tube development [GO:0035050]; embryonic hemopoiesis [GO:0035162]; embryonic skeletal joint morphogenesis [GO:0060272]; fin development [GO:0033333]; fin morphogenesis [GO:0033334]; fin regeneration [GO:0031101]; Kupffer's vesicle development [GO:0070121]; medial fin development [GO:0033338]; microtubule-based transport [GO:0099111]
O57521	blood vessel development [GO:0001568]; cellular response to heat [GO:0034605]; leukocyte migration [GO:0050900]; muscle organ development [GO:0007517]; negative regulation of cell cycle arrest [GO:0071157]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of transforming growth factor beta activation [GO:1901389]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; response to estrogen [GO:0043627]
B3G515	apoptotic process [GO:0006915]; brain development [GO:0007420]; cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to estradiol stimulus [GO:0071392]; heart contraction [GO:0060047]; negative regulation of meiotic cell cycle [GO:0051447]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of oocyte maturation [GO:1900194]; positive regulation of embryonic development [GO:0040019]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]
F1RCP1	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to nitrogen starvation [GO:0006995]; cellular senescence [GO:0090398]; early endosome to late endosome transport [GO:0045022]; endocytosis [GO:0006897]; heart development [GO:0007507]; late endosome to vacuole transport [GO:0045324]; regulation of cytokinesis [GO:0032465]; regulation of skeletal muscle tissue regeneration [GO:0043416]
Q4TVV3	brain development [GO:0007420]; definitive hemopoiesis [GO:0060216]; digestive tract morphogenesis [GO:0048546]; exocrine pancreas development [GO:0031017]; liver morphogenesis [GO:0072576]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of hematopoietic stem cell differentiation [GO:1902038]; positive regulation of lymphocyte differentiation [GO:0045621]
Q9I9H8	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c [GO:0008635]; apoptotic signaling pathway [GO:0097190]
Q6NWJ0	
Q567X1	cholesterol metabolic process [GO:0008203]; sterol biosynthetic process [GO:0016126]
F1Q8W0	anterior/posterior axis specification, embryo [GO:0008595]; eye development [GO:0001654]; innate immune response [GO:0045087]; mRNA cis splicing, via spliceosome [GO:0045292]; negative regulation of innate immune response [GO:0045824]; nervous system development [GO:0007399]; neural retina development [GO:0003407]; positive regulation of embryonic development [GO:0040019]; regulation of gene expression [GO:0010468]
Q92051	carbon dioxide transport [GO:0015670]; hypotonic salinity response [GO:0042539]; one-carbon metabolic process [GO:0006730]; regulation of pH [GO:0006885]
Q5PRC0	B cell chemotaxis [GO:0035754]; cholesterol metabolic process [GO:0008203]; defense response to virus [GO:0051607]; sterol biosynthetic process [GO:0016126]
Q6PHF0	cerebellum development [GO:0021549]; endosome transport via multivesicular body sorting pathway [GO:0032509]; late endosome to vacuole transport [GO:0045324]; mitotic chromosome condensation [GO:0007076]; protein transport [GO:0015031]
A8Y5U1	
A7E2V1	regulation of centriole replication [GO:0046599]
E7F568	auditory receptor cell stereocilium organization [GO:0060088]; cilium assembly [GO:0060271]; heart jogging [GO:0003146]; heart looping [GO:0001947]
Q91398	Wnt signaling pathway [GO:0016055]
Q592E4	
B0S5A7	transmembrane transport [GO:0055085]
Q68EI3	chordate embryonic development [GO:0043009]; cilium assembly [GO:0060271]; defense response to virus [GO:0051607]; protein branching point deglutamylation [GO:0035611]; protein deglutamylation [GO:0035608]
Q6PI52	calcium-mediated signaling [GO:0019722]; microtubule cytoskeleton organization [GO:0000226]
A8KB87	mitochondrial cytochrome c oxidase assembly [GO:0033617]; positive regulation of mitochondrial translation [GO:0070131]
F1R983	cell division [GO:0051301]; DNA double-strand break processing involved in repair via single-strand annealing [GO:0010792]; double-strand break repair via homologous recombination [GO:0000724]; meiotic cell cycle [GO:0051321]
Q6NYG4	
Q2KN93	actin cytoskeleton organization [GO:0030036]; cell cycle [GO:0007049]; cell division [GO:0051301]; face morphogenesis [GO:0060325]
Q1LV15	axonemal dynein complex assembly [GO:0070286]; cilium assembly [GO:0060271]; cilium-dependent cell motility [GO:0060285]; determination of left/right symmetry [GO:0007368]
Q502M6	
Q7ZU90	cellular response to DNA damage stimulus [GO:0006974]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]
Q568D2	cilium assembly [GO:0060271]
C7DZK3	bone mineralization [GO:0030282]; extracellular matrix organization [GO:0030198]; notochord morphogenesis [GO:0048570]; skeletal system development [GO:0001501]
Q575S8	
Q6DC53	protein urmylation [GO:0032447]; tRNA thio-modification [GO:0034227]; tRNA wobble position uridine thiolation [GO:0002143]; tRNA wobble uridine modification [GO:0002098]
Q4V8Y7	
Q32LR5	embryonic morphogenesis [GO:0048598]
Q58EM4	methylation [GO:0032259]; regulation of response to DNA damage stimulus [GO:2001020]
A4IGF3	mitochondrial protein processing [GO:0034982]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]
Q6PBQ2	exit from mitosis [GO:0010458]; late endosome to vacuole transport [GO:0045324]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; nuclear envelope reassembly [GO:0031468]; protein transport [GO:0015031]; vesicle budding from membrane [GO:0006900]
Q4V8Z3	cilium assembly [GO:0060271]; microtubule anchoring at centrosome [GO:0034454]; vesicle targeting, trans-Golgi to periciliary membrane compartment [GO:0097712]
Q5U3N7	cell migration involved in gastrulation [GO:0042074]; fibroblast growth factor receptor signaling pathway involved in somitogenesis [GO:0090243]; negative regulation of cell migration [GO:0030336]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of cell migration [GO:0030334]; regulation of mesodermal cell fate specification [GO:0042661]
P58239	cartilage development [GO:0051216]; endothelial cell morphogenesis [GO:0001886]; negative regulation of angiogenesis [GO:0016525]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]
Q5U395	nuclear envelope organization [GO:0006998]; positive regulation of triglyceride biosynthetic process [GO:0010867]; protein dephosphorylation [GO:0006470]
Q6P6E6	cellular response to UV [GO:0034644]; negative regulation of protein neddylation [GO:2000435]; positive regulation of cell population proliferation [GO:0008284]
A8E7D3	
Q8UUR3	response to cadmium ion [GO:0046686]
E9QJ73	calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; immune response [GO:0006955]; innate immune response [GO:0045087]; leukocyte migration involved in immune response [GO:0002522]; macrophage activation involved in immune response [GO:0002281]; macrophage chemotaxis [GO:0048246]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; response to bacterium [GO:0009617]
Q4V8S9	
A8KB59	
Q7SZP2	
A6H8T2	
Q1ECZ4	mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of translation [GO:0006417]
Q6GML1	N-acetylneuraminate metabolic process [GO:0006054]
Q6DHJ6	
Q6DHQ3	
Q66HT8	DNA repair [GO:0006281]; peptidyl-serine ADP-deribosylation [GO:0140290]
Q6DGA6	allantoin catabolic process [GO:0000256]; purine nucleobase metabolic process [GO:0006144]
Q7ZWB7	camera-type eye development [GO:0043010]; camera-type eye photoreceptor cell development [GO:0062139]; cilium assembly [GO:0060271]; gastrulation [GO:0007369]; heart looping [GO:0001947]; intracellular transport [GO:0046907]; Kupffer's vesicle development [GO:0070121]; melanosome transport [GO:0032402]; pigment granule aggregation in cell center [GO:0051877]; pronephros formation [GO:0072116]
Q90460	adaptive immune response [GO:0002250]; axonogenesis [GO:0007409]; cartilage morphogenesis [GO:0060536]; cell adhesion [GO:0007155]; embryonic viscerocranium morphogenesis [GO:0048703]; heart looping [GO:0001947]; neural crest cell differentiation [GO:0014033]; neuron differentiation [GO:0030182]; positive regulation of cell morphogenesis involved in differentiation [GO:0010770]; positive regulation of gene expression [GO:0010628]; retina morphogenesis in camera-type eye [GO:0060042]
Q6PBK1	
B0UXH9	
A0A0R4IFG5	cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; epithelial cilium movement involved in determination of left/right asymmetry [GO:0060287]
Q5BL21	vesicle-mediated transport [GO:0016192]
Q5TYQ3	
Q9YGX5	cellular response to amino acid stimulus [GO:0071230]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; mRNA processing [GO:0006397]; negative regulation of cytoplasmic translation [GO:2000766]; positive regulation of mRNA polyadenylation [GO:1900365]
Q7T3Q2	blood vessel development [GO:0001568]; notochord morphogenesis [GO:0048570]; somitogenesis [GO:0001756]
A3KNS9	cell differentiation [GO:0030154]; negative regulation of cellular protein catabolic process [GO:1903363]; negative regulation of osteoblast proliferation [GO:0033689]; positive regulation of bone mineralization [GO:0030501]; positive regulation of osteoblast differentiation [GO:0045669]; regulation of gene expression [GO:0010468]
E7F8F4	cell population proliferation [GO:0008283]; DNA dealkylation involved in DNA repair [GO:0006307]; DNA duplex unwinding [GO:0032508]; RNA catabolic process [GO:0006401]
Q66I59	NAD biosynthetic process [GO:0009435]
Q3YL68	carbohydrate metabolic process [GO:0005975]; dorsal/ventral axis specification [GO:0009950]; ganglioside biosynthetic process via lactosylceramide [GO:0010706]; otolith development [GO:0048840]; positive regulation of BMP signaling pathway [GO:0030513]; protein glycosylation [GO:0006486]; proteoglycan biosynthetic process [GO:0030166]
A0JMK8	Golgi to secretory granule transport [GO:0055107]; vesicle transport along microtubule [GO:0047496]
Q90X49	somitogenesis [GO:0001756]
Q56A40	axonemal dynein complex assembly [GO:0070286]; axoneme assembly [GO:0035082]; cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; embryonic heart tube morphogenesis [GO:0003143]; epithelial cilium movement involved in determination of left/right asymmetry [GO:0060287]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; heart jogging [GO:0003146]; heart looping [GO:0001947]; pronephros development [GO:0048793]
Q8JHH5	multicellular organism development [GO:0007275]
A2BGP7	negative regulation of cell motility [GO:2000146]; negative regulation of Rho protein signal transduction [GO:0035024]
Q6NXD2	endosome transport via multivesicular body sorting pathway [GO:0032509]; late endosome to vacuole transport [GO:0045324]; protein transport [GO:0015031]
Q6DRC3	cerebrospinal fluid circulation [GO:0090660]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; motile cilium assembly [GO:0044458]; pronephros development [GO:0048793]; pronephros morphogenesis [GO:0072114]; regulation of cilium movement [GO:0003352]
Q5U3Q6	actin cytoskeleton organization [GO:0030036]; endocytosis [GO:0006897]
B2ZGJ1	acetylcholine biosynthetic process [GO:0008292]; locomotory behavior [GO:0007626]; neuromuscular synaptic transmission [GO:0007274]
Q5CZR5	cytokine production [GO:0001816]; defense response to bacterium [GO:0042742]
Q7ZVI7	
Q66I85	RNA splicing [GO:0008380]
Q5SPB6	apoptotic process [GO:0006915]; glutathione catabolic process [GO:0006751]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein processing [GO:0010955]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; response to unfolded protein [GO:0006986]
Q6P3G4	brain development [GO:0007420]; cell cycle [GO:0007049]; cell division [GO:0051301]; cilium movement [GO:0003341]; determination of heart left/right asymmetry [GO:0061371]; heart development [GO:0007507]; mitotic spindle microtubule depolymerization [GO:1990755]; negative regulation of cell death [GO:0060548]; negative regulation of mitotic cell cycle [GO:0045930]; neuron development [GO:0048666]; regulation of cilium beat frequency involved in ciliary motility [GO:0060296]; regulation of embryonic development [GO:0045995]; regulation of mitotic spindle assembly [GO:1901673]
Q08BW6	erythrocyte differentiation [GO:0030218]
Q5BJC4	
Q1RM35	
Q6DGK9	
Q501S4	peptidyl-lysine dimethylation [GO:0018027]; peptidyl-lysine monomethylation [GO:0018026]; peptidyl-lysine trimethylation [GO:0018023]; protein methylation [GO:0006479]
Q6PC29	brain development [GO:0007420]; heart development [GO:0007507]
Q32LS6	
O42145	female germ-line sex determination [GO:0019099]; female gonad development [GO:0008585]; female sex determination [GO:0030237]; female sex differentiation [GO:0046660]; male germ-line sex determination [GO:0019100]; oxidation-reduction process [GO:0055114]; regulation of estrogen biosynthetic process [GO:1904076]; response to estradiol [GO:0032355]; response to xenobiotic stimulus [GO:0009410]
A8E7D2	miRNA metabolic process [GO:0010586]; negative regulation of pre-miRNA processing [GO:2000632]; RNA methylation [GO:0001510]
Q7SYI5	angiogenesis [GO:0001525]; kidney development [GO:0001822]; O-glycan processing, core 1 [GO:0016267]
Q5TYP4	
A8WGT1	cholesterol metabolic process [GO:0008203]; sterol biosynthetic process [GO:0016126]
Q805E5	carbohydrate biosynthetic process [GO:0016051]; dermatan sulfate proteoglycan metabolic process [GO:0050655]
Q6P2T7	
Q6TH01	
A2BIJ3	
Q567Z7	mRNA splicing, via spliceosome [GO:0000398]
Q6PC91	
Q5XIX8	lysosome localization [GO:0032418]; organelle transport along microtubule [GO:0072384]; positive regulation of anterograde synaptic vesicle transport [GO:1903744]
Q5XLR4	cell division [GO:0051301]; heart development [GO:0007507]; mitotic sister chromatid segregation [GO:0000070]
Q6P0H7	fatty acid biosynthetic process [GO:0006633]; oxidation-reduction process [GO:0055114]; protein heterotetramerization [GO:0051290]
Q6DGB6	axonemal dynein complex assembly [GO:0070286]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; embryonic heart tube morphogenesis [GO:0003143]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; heart jogging [GO:0003146]; heart looping [GO:0001947]; inner dynein arm assembly [GO:0036159]
Q7ZW02	
Q6DGV1	mRNA splice site selection [GO:0006376]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]
Q7ZTY6	
