Entry	Gene ontology (biological process)
P25819	cell death [GO:0008219]; cell redox homeostasis [GO:0045454]; cellular response to nitrogen starvation [GO:0006995]; cellular response to phosphate starvation [GO:0016036]; cellular response to sulfate starvation [GO:0009970]; hydrogen peroxide catabolic process [GO:0042744]; photoperiodism [GO:0009648]; response to cold [GO:0009409]; response to hydrogen peroxide [GO:0042542]; response to light stimulus [GO:0009416]; response to oxidative stress [GO:0006979]
O82199	regulation of transcription, DNA-templated [GO:0006355]; response to oxidative stress [GO:0006979]
Q9SZA4	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]; positive regulation of anaphase-promoting complex-dependent catabolic process [GO:1905786]; protein ubiquitination [GO:0016567]
P24100	asymmetric cell division [GO:0008356]; cytokinesis by cell plate formation [GO:0000911]; DNA endoreduplication [GO:0042023]; embryo development ending in seed dormancy [GO:0009793]; G1/S transition of mitotic cell cycle [GO:0000082]; gametophyte development [GO:0048229]; guard mother cell cytokinesis [GO:0010235]; guard mother cell differentiation [GO:0010444]; pollen development [GO:0009555]; positive regulation of cell population proliferation [GO:0008284]; protein phosphorylation [GO:0006468]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of gene expression [GO:0010468]; regulation of meiotic cell cycle [GO:0051445]; regulation of meiotic nuclear division [GO:0040020]; response to cold [GO:0009409]; symmetric cell division [GO:0098725]
Q38872	abscisic acid-activated signaling pathway [GO:0009738]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; regulation of anion channel activity [GO:0010359]; regulation of stomatal movement [GO:0010119]; regulation of stomatal opening [GO:1902456]; response to abscisic acid [GO:0009737]
Q9FKE6	cell cycle [GO:0007049]; cell division [GO:0051301]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; regulation of transcription by RNA polymerase II [GO:0006357]
Q9LMT0	cell cycle [GO:0007049]; cell division [GO:0051301]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]
O80504	chaperone cofactor-dependent protein refolding [GO:0051085]; protein folding [GO:0006457]
Q9LF54	
Q9SYQ8	cell differentiation [GO:0030154]; hormone-mediated signaling pathway [GO:0009755]; multicellular organism development [GO:0007275]; peptidyl-serine autophosphorylation [GO:0036289]; regulation of meristem structural organization [GO:0009934]
Q8L7Z0	
Q9SKU1	clathrin coat assembly [GO:0048268]; clathrin-dependent endocytosis [GO:0072583]; intracellular protein transport [GO:0006886]
Q9SZ92	
Q8GWP3	cellular copper ion homeostasis [GO:0006878]
Q2V419	guard mother cell differentiation [GO:0010444]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of DNA endoreduplication [GO:0032875]; regulation of stomatal complex patterning [GO:2000037]
P42730	cellular response to hypoxia [GO:0071456]; positive regulation of translation [GO:0045727]; protein unfolding [GO:0043335]; response to heat [GO:0009408]
Q9FGU8	cellular copper ion homeostasis [GO:0006878]
Q9M297	gene silencing by RNA [GO:0031047]; positive regulation of RNA interference [GO:1900370]
Q9SRW9	cell plate assembly [GO:0000919]; cellulose biosynthetic process [GO:0030244]; cell wall biogenesis [GO:0042546]; cell wall organization [GO:0071555]; plant-type primary cell wall biogenesis [GO:0009833]; response to osmotic stress [GO:0006970]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]; shoot system development [GO:0048367]
Q9LRL9	
Q8RX80	defense response to bacterium [GO:0042742]; protein phosphorylation [GO:0006468]
O65479	defense response to bacterium [GO:0042742]; protein phosphorylation [GO:0006468]
Q56X75	
Q9FGR0	mRNA polyadenylation [GO:0006378]
O50055	regulation of flower development [GO:0009909]
Q9LZP9	cellular response to anoxia [GO:0071454]; cellular response to cold [GO:0070417]; cellular response to heat [GO:0034605]; negative regulation of reductive pentose-phosphate cycle [GO:0080153]; peptide cross-linking via L-cystine [GO:0018316]; protein-containing complex assembly [GO:0065003]; reductive pentose-phosphate cycle [GO:0019253]; response to light stimulus [GO:0009416]; response to sucrose [GO:0009744]
Q9ZQ91	catabolic process [GO:0009056]
Q9MA41	cellulose biosynthetic process [GO:0030244]; cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; ethylene-activated signaling pathway [GO:0009873]; multidimensional cell growth [GO:0009825]; regulation of salicylic acid metabolic process [GO:0010337]; response to cytokinin [GO:0009735]; response to heat [GO:0009408]; response to nitrate [GO:0010167]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]; root epidermal cell differentiation [GO:0010053]
P80844	
F4JN00	carbohydrate transport [GO:0008643]; sialic acid transport [GO:0015739]
Q56Y11	plastid membrane organization [GO:0009668]; polyprenol biosynthetic process [GO:0016094]; protein glycosylation [GO:0006486]; response to cold [GO:0009409]
Q9SH69	D-gluconate catabolic process [GO:0046177]; pentose-phosphate shunt, oxidative branch [GO:0009051]
Q8LG70	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, oxidative branch [GO:0009051]
Q9LH82	
Q9M2V6	transmembrane transport [GO:0055085]
Q9C991	valine catabolic process [GO:0006574]
Q9FN75	
P17839	cell differentiation [GO:0030154]; flower development [GO:0009908]; positive regulation of transcription by RNA polymerase II [GO:0045944]
A8MRP2	
Q9SF85	adenosine salvage [GO:0006169]; AMP salvage [GO:0044209]; response to cadmium ion [GO:0046686]; response to trehalose-6-phosphate [GO:0080094]; viral process [GO:0016032]
Q94K49	negative regulation of chromatin silencing [GO:0031936]
Q38838	flower development [GO:0009908]; maintenance of floral meristem identity [GO:0010076]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of auxin polar transport [GO:2000012]; regulation of root meristem growth [GO:0010082]; vegetative to reproductive phase transition of meristem [GO:0010228]
Q9SUC0	leucine metabolic process [GO:0006551]; valine catabolic process [GO:0006574]; valine metabolic process [GO:0006573]
F4JNY0	base-excision repair [GO:0006284]; DNA demethylation [GO:0080111]; DNA repair [GO:0006281]
Q9ZV53	embryo development ending in seed dormancy [GO:0009793]; protein ubiquitination [GO:0016567]
Q9C8Y4	cellular response to oxidative stress [GO:0034599]; leaf senescence [GO:0010150]; reactive oxygen species metabolic process [GO:0072593]; vegetative to reproductive phase transition of meristem [GO:0010228]
Q8GYM3	cell division [GO:0051301]; spindle assembly [GO:0051225]
O80668	amino acid transmembrane transport [GO:0003333]
O65036	cell differentiation [GO:0030154]; embryo development ending in seed dormancy [GO:0009793]
F4IV99	chromatin organization [GO:0006325]
Q9SL03	(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cell wall organization [GO:0071555]; regulation of cell shape [GO:0008360]
O24603	cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; leaf senescence [GO:0010150]; polysaccharide catabolic process [GO:0000272]; response to amitrole [GO:0072722]; response to silver ion [GO:0010272]; response to virus [GO:0009615]; systemic acquired resistance [GO:0009627]
Q9ZPR1	cell cycle [GO:0007049]; cell division [GO:0051301]; protein transport [GO:0015031]
Q9SU87	cytidine deamination [GO:0009972]
Q9XEX4	cytidine deamination [GO:0009972]
Q94AM9	regulation of cytoplasmic mRNA processing body assembly [GO:0010603]; stress granule assembly [GO:0034063]
O65684	cell wall organization [GO:0071555]; ion homeostasis [GO:0050801]; iron ion homeostasis [GO:0055072]; multicellular organism development [GO:0007275]; pollen tube growth [GO:0009860]; regulation of root morphogenesis [GO:2000067]; response to acidic pH [GO:0010447]; response to iron ion [GO:0010039]
Q9SUL7	intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]
Q8S8N3	cell-cell signaling involved in cell fate commitment [GO:0045168]; multicellular organism development [GO:0007275]
Q9FLE2	mRNA polyadenylation [GO:0006378]; RNA processing [GO:0006396]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]
Q8LFL4	cell-cell signaling involved in cell fate commitment [GO:0045168]; multicellular organism development [GO:0007275]; positive regulation of abscisic acid biosynthetic process [GO:0010116]; positive regulation of response to water deprivation [GO:1902584]
O49519	cell-cell signaling involved in cell fate commitment [GO:0045168]; multicellular organism development [GO:0007275]
Q93Y22	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi localization [GO:0051645]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]
F4JRR1	Golgi organization [GO:0007030]; intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]; regulation of exocyst localization [GO:0060178]
Q9SAA9	methylation [GO:0032259]; oxidation-reduction process [GO:0055114]; sterol biosynthetic process [GO:0016126]; sterol metabolic process [GO:0016125]
Q9SIH1	protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]
Q9FGS0	chloroplast rRNA processing [GO:1901259]; innate immune response [GO:0045087]; mRNA processing [GO:0006397]; regulation of RNA metabolic process [GO:0051252]; RNA modification [GO:0009451]
O64641	catabolic process [GO:0009056]
Q940T9	
P80830	
Q9ZQY6	protein dephosphorylation [GO:0006470]; regulation of protein autophosphorylation [GO:0031952]; signal transduction [GO:0007165]
Q39250	actin filament depolymerization [GO:0030042]
Q7G192	abscisic acid biosynthetic process [GO:0009688]; auxin biosynthetic process [GO:0009851]
Q9LTW0	phospholipid transport [GO:0015914]
Q9SJU4	fructose 1,6-bisphosphate metabolic process [GO:0030388]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; response to cadmium ion [GO:0046686]
Q9LDD4	
Q84JF0	cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]
Q84N64	chloroplast fission [GO:0010020]; circadian rhythm [GO:0007623]; organelle fission [GO:0048285]; peroxisome fission [GO:0016559]
Q944R7	
Q9LVG4	phosphorelay signal transduction system [GO:0000160]; rhythmic process [GO:0048511]
Q9LVK3	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; autophagy of nucleus [GO:0044804]; C-terminal protein lipidation [GO:0006501]; protein transport [GO:0015031]
Q9S9K4	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
Q9LZV8	protein ubiquitination [GO:0016567]
Q0WPK3	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; autophagy of nucleus [GO:0044804]; protein lipidation [GO:0006497]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]
O80366	circadian rhythm [GO:0007623]; cytokinin-activated signaling pathway [GO:0009736]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]; response to cytokinin [GO:0009735]
F4IK01	cell division [GO:0051301]; spindle assembly [GO:0051225]
Q8W0Z7	branched-chain amino acid biosynthetic process [GO:0009082]
F4IUW3	amino acid transmembrane transport [GO:0003333]
Q03509	calcium-mediated signaling [GO:0019722]
O82307	mRNA destabilization [GO:0061157]; regulation of transcription, DNA-templated [GO:0006355]
Q9LT81	regulation of transcription, DNA-templated [GO:0006355]
Q9STS7	lipid metabolic process [GO:0006629]; negative regulation of fatty acid oxidation [GO:0046322]; photoprotection [GO:0010117]; response to abscisic acid [GO:0009737]; response to heat [GO:0009408]; response to high light intensity [GO:0009644]; response to oxidative stress [GO:0006979]; response to paraquat [GO:1901562]; response to water deprivation [GO:0009414]; seed maturation [GO:0010431]
O81862	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]; response to abscisic acid [GO:0009737]; response to jasmonic acid [GO:0009753]; response to salt stress [GO:0009651]
Q8L7B5	protein folding [GO:0006457]; protein refolding [GO:0042026]
Q9S7I8	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]; positive regulation of anaphase-promoting complex-dependent catabolic process [GO:1905786]; protein ubiquitination [GO:0016567]
B3DNN5	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; phloem or xylem histogenesis [GO:0010087]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein ubiquitination [GO:0016567]; regulation of DNA endoreduplication [GO:0032875]
O49639	CDP-diacylglycerol biosynthetic process [GO:0016024]
Q9SEZ3	flower development [GO:0009908]; negative regulation of long-day photoperiodism, flowering [GO:0048579]; negative regulation of short-day photoperiodism, flowering [GO:0048577]; regulation of transcription, DNA-templated [GO:0006355]
Q9LRN6	
Q9M209	exonucleolytic catabolism of deadenylated mRNA [GO:0043928]; exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]; nuclear mRNA surveillance [GO:0071028]; nuclear polyadenylation-dependent mRNA catabolic process [GO:0071042]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear polyadenylation-dependent tRNA catabolic process [GO:0071038]; nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' [GO:0034427]; rRNA catabolic process [GO:0016075]; U1 snRNA 3'-end processing [GO:0034473]; U4 snRNA 3'-end processing [GO:0034475]; U5 snRNA 3'-end processing [GO:0034476]
Q9LQN4	calcium-mediated signaling [GO:0019722]
Q9SJ22	cellulose biosynthetic process [GO:0030244]; cell wall organization [GO:0071555]; plant-type primary cell wall biogenesis [GO:0009833]; seed coat development [GO:0010214]
Q9ZPV8	coenzyme A biosynthetic process [GO:0015937]; lipid metabolic process [GO:0006629]; lipid storage [GO:0019915]; regulation of coenzyme A biosynthetic process [GO:0080020]; response to osmotic stress [GO:0006970]; response to salt stress [GO:0009651]
Q8RWS9	
Q9FJ13	cell tip growth [GO:0009932]; cellulose microfibril organization [GO:0010215]; root epidermal cell differentiation [GO:0010053]; root hair cell differentiation [GO:0048765]
O48947	cellulose biosynthetic process [GO:0030244]; cell wall organization [GO:0071555]; plant-type primary cell wall biogenesis [GO:0009833]
F4JZY1	abscisic acid-activated signaling pathway [GO:0009738]; cellular response to abscisic acid stimulus [GO:0071215]; positive regulation of abscisic acid-activated signaling pathway [GO:0009789]; regulation of protein import into nucleus [GO:0042306]; response to abscisic acid [GO:0009737]; response to osmotic stress [GO:0006970]
O22267	cytokinin-activated signaling pathway [GO:0009736]; embryo sac development [GO:0009553]; nucleoside metabolic process [GO:0009116]; phloem or xylem histogenesis [GO:0010087]; secondary growth [GO:0080117]
P43255	COP9 signalosome assembly [GO:0010387]; multicellular organism development [GO:0007275]; protein deneddylation [GO:0000338]; red, far-red light phototransduction [GO:0009585]; response to jasmonic acid [GO:0009753]; response to light stimulus [GO:0009416]
Q9SJA2	cell wall organization [GO:0071555]
Q0PW40	defense response to bacterium [GO:0042742]; plant-type hypersensitive response [GO:0009626]; protein phosphorylation [GO:0006468]; response to molecule of bacterial origin [GO:0002237]
O64816	cellular response to abscisic acid stimulus [GO:0071215]; chloroplast-nucleus signaling pathway [GO:0010019]; negative regulation of seed germination [GO:0010187]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; regulation of cell cycle [GO:0051726]; regulation of growth [GO:0040008]; regulation of photoperiodism, flowering [GO:2000028]
Q8W206	COP9 signalosome assembly [GO:0010387]; multicellular organism development [GO:0007275]; protein catabolic process [GO:0030163]; protein deneddylation [GO:0000338]; red, far-red light phototransduction [GO:0009585]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q9LRM1	
Q9LUL1	floral organ abscission [GO:0010227]
F4IUE7	stem vascular tissue pattern formation [GO:0010222]
Q9SA37	monovalent inorganic cation transport [GO:0015672]; potassium ion transport [GO:0006813]; regulation of pH [GO:0006885]
Q9SUD3	
A1L4Y2	formaldehyde catabolic process [GO:0046294]
Q9FKK2	endosperm development [GO:0009960]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of auxin polar transport [GO:2000012]
Q9SA98	DNA repair [GO:0006281]
Q7X9N2	positive regulation of transcription by RNA polymerase II [GO:0045944]
O65581	fructose 1,6-bisphosphate metabolic process [GO:0030388]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
Q9C8D4	butyrate metabolic process [GO:0019605]
O80644	
Q9LU14	lipid catabolic process [GO:0016042]
Q9LHE3	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
Q9SAF1	actin filament organization [GO:0007015]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; cell morphogenesis [GO:0000902]; multicellular organism development [GO:0007275]; multidimensional cell growth [GO:0009825]; trichome morphogenesis [GO:0010090]
Q9FLC6	anther dehiscence [GO:0009901]; pollen development [GO:0009555]; protein ubiquitination [GO:0016567]; regulation of jasmonic acid biosynthetic process [GO:0080141]; stamen development [GO:0048443]
Q9LUZ9	cellular response to osmotic stress [GO:0071470]; protein ubiquitination [GO:0016567]; regulation of endocytosis [GO:0030100]; regulation of reactive oxygen species biosynthetic process [GO:1903426]; regulation of response to salt stress [GO:1901000]
O04479	adaxial/abaxial axis specification [GO:0009943]; petal development [GO:0048441]; polarity specification of adaxial/abaxial axis [GO:0009944]; proximal/distal pattern formation [GO:0009954]; specification of symmetry [GO:0009799]
Q9LY41	protein ubiquitination [GO:0016567]
P83484	mitochondrial ATP synthesis coupled proton transport [GO:0042776]
Q9ZPS9	auxin-activated signaling pathway [GO:0009734]; brassinosteroid mediated signaling pathway [GO:0009742]; hormone-mediated signaling pathway [GO:0009755]; leaf vascular tissue pattern formation [GO:0010305]; phloem transport [GO:0010233]; xylem and phloem pattern formation [GO:0010051]
Q8H1B3	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; pollen tube growth [GO:0009860]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]; ubiquitin-dependent ERAD pathway [GO:0030433]
Q9ZU50	gamma-aminobutyric acid transport [GO:0015812]
Q9LKR7	carbohydrate metabolic process [GO:0005975]; glucosinolate catabolic process [GO:0019762]; response to salt stress [GO:0009651]
Q7XHI7	
B0F481	biotin biosynthetic process [GO:0009102]
Q9FI21	response to salt stress [GO:0009651]
F4IDI6	defense response [GO:0006952]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of programmed cell death [GO:0043067]
Q8W4D4	defense response to fungus [GO:0050832]
Q9LIP3	
Q9SRX9	defense response to bacterium [GO:0042742]; plant-type hypersensitive response [GO:0009626]; regulation of salicylic acid metabolic process [GO:0010337]; response to benzoic acid [GO:0080021]; response to nitrate [GO:0010167]; response to salicylic acid [GO:0009751]; salicylic acid biosynthetic process [GO:0009697]; systemic acquired resistance [GO:0009627]
Q9SHG5	regulation of growth [GO:0040008]
Q9LUC6	
Q9SLP1	fruit development [GO:0010154]; regulation of growth [GO:0040008]; seed development [GO:0048316]
Q9SZU1	indole glucosinolate metabolic process [GO:0042343]
Q9CA60	spermidine metabolic process [GO:0008216]
P29402	endoplasmic reticulum unfolded protein response [GO:0030968]; protein folding [GO:0006457]
Q8GZA4	
Q84WU9	mRNA splicing, via spliceosome [GO:0000398]
Q9LSF8	defense response to fungus [GO:0050832]; defense response to insect [GO:0002213]; defense response to other organism [GO:0098542]; negative regulation of oviposition [GO:1901045]; response to bacterium [GO:0009617]; terpene biosynthetic process [GO:0046246]; terpenoid biosynthetic process [GO:0016114]
O04151	endoplasmic reticulum unfolded protein response [GO:0030968]; protein folding [GO:0006457]; response to cadmium ion [GO:0046686]; response to endoplasmic reticulum stress [GO:0034976]; response to oxidative stress [GO:0006979]
Q9LTG5	(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cell wall organization [GO:0071555]; regulation of cell shape [GO:0008360]
