Entry	Gene ontology (biological process)
O76360	chemosensory behavior [GO:0007635]; chemotaxis [GO:0006935]; chemotropism [GO:0043577]; determination of adult lifespan [GO:0008340]; insulin receptor signaling pathway [GO:0008286]; larval feeding behavior [GO:0030536]; negative regulation of calcium-mediated signaling [GO:0050849]; negative regulation of cell growth [GO:0030308]; negative regulation of cGMP-mediated signaling [GO:0010754]; negative regulation of cyclic nucleotide-gated ion channel activity [GO:1902160]; negative regulation of dauer larval development [GO:0061067]; negative regulation of multicellular organism growth [GO:0040015]; negative regulation of organ growth [GO:0046621]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; olfactory learning [GO:0008355]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of cellular response to alcohol [GO:1905959]; positive regulation of cGMP-mediated signaling [GO:0010753]; positive regulation of chemotaxis [GO:0050921]; positive regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051343]; positive regulation of oviposition [GO:1901046]; protein phosphorylation [GO:0006468]; regulation of eating behavior [GO:1903998]; regulation of gene expression [GO:0010468]; regulation of multicellular organism growth [GO:0040014]; regulation of oviposition [GO:0046662]; response to alcohol [GO:0097305]; response to hydrogen peroxide [GO:0042542]; response to odorant [GO:1990834]; response to oxygen levels [GO:0070482]; sensory perception of bitter taste [GO:0050913]; sleep [GO:0030431]
P54811	autophagosome maturation [GO:0097352]; determination of adult lifespan [GO:0008340]; embryo development ending in birth or egg hatching [GO:0009792]; ER-associated misfolded protein catabolic process [GO:0071712]; macroautophagy [GO:0016236]; mitotic spindle disassembly [GO:0051228]; positive regulation of mitotic cell cycle, embryonic [GO:0045977]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; regulation of protein localization to chromatin [GO:1905634]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]
G5EGD2	apoptotic process [GO:0006915]; cellular response to caloric restriction [GO:0061433]; determination of adult lifespan [GO:0008340]; heat acclimation [GO:0010286]; negative regulation of apoptotic process [GO:0043066]; phosphorelay signal transduction system [GO:0000160]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; response to axon injury [GO:0048678]; response to hypoxia [GO:0001666]
G5EBV0	cellular response to hypoxia [GO:0071456]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; regulation of protein localization [GO:0032880]; response to hypoxia [GO:0001666]
G5EDF7	activation of JUN kinase activity [GO:0007257]; activation of MAPK activity [GO:0000187]; activation of protein kinase activity [GO:0032147]; defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; determination of left/right asymmetry in nervous system [GO:0035545]; innate immune response [GO:0045087]; MAPK cascade [GO:0000165]; negative regulation of neuron death [GO:1901215]; p38MAPK cascade [GO:0038066]; positive regulation of gene expression [GO:0010628]; positive regulation of oviposition [GO:1901046]; positive regulation of transcription from RNA polymerase II promoter involved in defense response to Gram-negative bacterium [GO:1902097]; protein phosphorylation [GO:0006468]; regulation of mitotic cell cycle [GO:0007346]; regulation of oviposition [GO:0046662]; response to nematicide [GO:0093002]; response to reactive oxygen species [GO:0000302]; response to superoxide [GO:0000303]; response to toxic substance [GO:0009636]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated MAPK cascade [GO:0051403]; stress-activated protein kinase signaling cascade [GO:0031098]; turning behavior involved in mating [GO:0034607]
G5EEM5	cell division [GO:0051301]; centrosome duplication [GO:0051298]; embryo development ending in birth or egg hatching [GO:0009792]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; meiotic spindle organization [GO:0000212]; microtubule-based process [GO:0007017]; microtubule polymerization [GO:0046785]; mitotic spindle organization [GO:0007052]; spindle elongation [GO:0051231]; spindle organization [GO:0007051]
G5EE01	cell motility [GO:0048870]; chemosensory behavior [GO:0007635]; chemotaxis [GO:0006935]; dauer larval development [GO:0040024]; dephosphorylation [GO:0016311]; determination of adult lifespan [GO:0008340]; learning or memory [GO:0007611]; negative regulation of cell population proliferation [GO:0008285]; phosphatidylinositol 3-kinase signaling [GO:0014065]; phosphatidylinositol dephosphorylation [GO:0046856]; positive regulation of dauer larval development [GO:0061066]; positive regulation of positive chemotaxis [GO:0050927]; protein dephosphorylation [GO:0006470]; protein import into nucleus [GO:0006606]; regulation of chemotaxis [GO:0050920]; regulation of protein kinase B signaling [GO:0051896]; response to heat [GO:0009408]; response to salt [GO:1902074]
G5EFF5	cell differentiation [GO:0030154]; chemotaxis [GO:0006935]; chemotaxis to cAMP [GO:0043327]; cholesterol homeostasis [GO:0042632]; dauer larval development [GO:0040024]; detection of chemical stimulus [GO:0009593]; determination of adult lifespan [GO:0008340]; heat acclimation [GO:0010286]; lipid homeostasis [GO:0055088]; lipid metabolic process [GO:0006629]; male mating behavior [GO:0060179]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of dauer larval development [GO:0061066]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of dauer larval development [GO:0061065]; regulation of development, heterochronic [GO:0040034]; regulation of pharyngeal pumping [GO:0043051]; response to biotin [GO:0070781]; response to inorganic substance [GO:0010035]
Q10651	body morphogenesis [GO:0010171]; cell differentiation [GO:0030154]; ecdysis, collagen and cuticulin-based cuticle [GO:0042395]; nematode larval development [GO:0002119]; nervous system development [GO:0007399]
Q05062	actin cytoskeleton organization [GO:0030036]; actin filament organization [GO:0007015]; Cdc42 protein signal transduction [GO:0032488]; cell division [GO:0051301]; cell migration [GO:0016477]; cell projection assembly [GO:0030031]; cortical cytoskeleton organization [GO:0030865]; endocytosis [GO:0006897]; epithelial tube morphogenesis [GO:0060562]; establishment of mitotic spindle localization [GO:0040001]; establishment of mitotic spindle orientation [GO:0000132]; establishment or maintenance of cell polarity [GO:0007163]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; positive regulation of nematode male tail tip morphogenesis [GO:0110039]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of actin filament-based process [GO:0032970]; regulation of cell shape [GO:0008360]; regulation of Golgi organization [GO:1903358]
Q17381	anatomical structure morphogenesis [GO:0009653]; cell differentiation [GO:0030154]; cell fate specification involved in pattern specification [GO:0060573]; determination of adult lifespan [GO:0008340]; embryonic morphogenesis [GO:0048598]; pharynx development [GO:0060465]; positive regulation of macroautophagy [GO:0016239]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; regulation of transcription by RNA polymerase II [GO:0006357]; response to caloric restriction [GO:0061771]; response to sodium arsenite [GO:1903935]
Q968Y9	carbohydrate metabolic process [GO:0005975]; cellular response to salt [GO:1902075]; dauer exit [GO:0043054]; dauer larval development [GO:0040024]; determination of adult lifespan [GO:0008340]; heat acclimation [GO:0010286]; innate immune response [GO:0045087]; insulin receptor signaling pathway [GO:0008286]; larval feeding behavior [GO:0030536]; multicellular organism development [GO:0007275]; negative regulation of dauer entry [GO:1905910]; negative regulation of gene expression [GO:0010629]; negative regulation of lipid storage [GO:0010888]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein localization to nucleus [GO:1900181]; positive regulation of gene expression [GO:0010628]; positive regulation of kinase activity [GO:0033674]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of neuromuscular synaptic transmission [GO:1900075]; positive regulation of synaptic growth at neuromuscular junction [GO:0045887]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; regulation of autophagosome assembly [GO:2000785]; regulation of dauer entry [GO:1905909]; regulation of dauer larval development [GO:0061065]; regulation of development, heterochronic [GO:0040034]; regulation of eating behavior [GO:1903998]; regulation of gene expression [GO:0010468]; regulation of lipid storage [GO:0010883]; regulation of response to reactive oxygen species [GO:1901031]; reproduction [GO:0000003]; response to oxidative stress [GO:0006979]; response to UV [GO:0009411]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]
Q8I4N4	age-dependent response to oxidative stress [GO:0001306]; cellular response to cGMP [GO:0071321]; cGMP biosynthetic process [GO:0006182]; chemotaxis [GO:0006935]; chemotaxis to cAMP [GO:0043327]; cilium assembly [GO:0060271]; dauer larval development [GO:0040024]; detection of chemical stimulus [GO:0009593]; determination of adult lifespan [GO:0008340]; intracellular signal transduction [GO:0035556]; negative regulation of dauer larval development [GO:0061067]; olfactory learning [GO:0008355]; phototransduction [GO:0007602]; positive regulation of gene expression [GO:0010628]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; receptor guanylyl cyclase signaling pathway [GO:0007168]; regulation of axon extension [GO:0030516]; regulation of chemotaxis [GO:0050920]; regulation of dauer larval development [GO:0061065]; regulation of gene expression [GO:0010468]; regulation of multicellular organism growth [GO:0040014]; response to biotin [GO:0070781]; response to hydrogen peroxide [GO:0042542]; response to inorganic substance [GO:0010035]; response to pheromone [GO:0019236]; response to temperature stimulus [GO:0009266]; sensory perception of smell [GO:0007608]; signal transduction [GO:0007165]
G5ECN9	arg-arg specific dibasic protein processing [GO:0090474]; determination of adult lifespan [GO:0008340]; dibasic protein processing [GO:0090472]; insulin processing [GO:0030070]; larval feeding behavior [GO:0030536]; negative regulation of dauer entry [GO:1905910]; negative regulation of dense core granule transport [GO:1904810]; negative regulation of turning behavior involved in mating [GO:0061096]; neuromuscular synaptic transmission [GO:0007274]; neuropeptide processing [GO:0061837]; positive regulation of acetylcholine secretion, neurotransmission [GO:0014057]; positive regulation of backward locomotion [GO:1905852]; positive regulation of digestive system process [GO:0060456]; positive regulation of forward locomotion [GO:1905850]; positive regulation of lipid localization [GO:1905954]; positive regulation of locomotion involved in locomotory behavior [GO:0090326]; positive regulation of oviposition [GO:1901046]; positive regulation of synaptic growth at neuromuscular junction [GO:0045887]; protein processing [GO:0016485]; regulation of backward locomotion [GO:0043058]; regulation of eating behavior [GO:1903998]; regulation of locomotion involved in locomotory behavior [GO:0090325]; regulation of muscle contraction [GO:0006937]; regulation of neuromuscular synaptic transmission [GO:1900073]; regulation of synaptic growth at neuromuscular junction [GO:0008582]; response to mechanical stimulus [GO:0009612]; response to serotonin [GO:1904014]
P34766	animal organ morphogenesis [GO:0009887]; anterior/posterior axis specification [GO:0009948]; cell differentiation [GO:0030154]; ectodermal cell fate commitment [GO:0001712]; embryo development ending in birth or egg hatching [GO:0009792]; embryonic pattern specification [GO:0009880]; muscle cell fate commitment [GO:0042693]; positive regulation of apoptotic process [GO:0043065]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]
P55853	embryo development ending in birth or egg hatching [GO:0009792]; mitotic metaphase plate congression [GO:0007080]; mitotic sister chromatid separation [GO:0051306]; multicellular organismal locomotion [GO:0071965]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nematode larval development [GO:0002119]; positive regulation of nematode male tail tip morphogenesis [GO:0110039]; protein localization to chromosome [GO:0034502]; protein sumoylation [GO:0016925]; regulation of gene expression [GO:0010468]; regulation of protein stability [GO:0031647]; synaptonemal complex disassembly [GO:0070194]
G5EEU3	defecation [GO:0030421]; exocytosis [GO:0006887]; lipid transport involved in lipid storage [GO:0010877]; locomotion [GO:0040011]; male mating behavior [GO:0060179]; oviposition [GO:0018991]; positive regulation of acetylcholine secretion, neurotransmission [GO:0014057]; positive regulation of defecation [GO:2000294]; positive regulation of intestinal lipid absorption [GO:1904731]; positive regulation of triglyceride transport [GO:1905885]; protein localization to synapse [GO:0035418]; regulation of muscle contraction [GO:0006937]
P91408	
P41990	anterior/posterior axis specification, embryo [GO:0008595]; cell differentiation [GO:0030154]; embryonic pattern specification [GO:0009880]; lateral inhibition [GO:0046331]; morphogenesis of embryonic epithelium [GO:0016331]; regulation of vulval development [GO:0040028]
Q18515	O-glycan processing, core 1 [GO:0016267]
Q20027	sterol biosynthetic process [GO:0016126]
O17386	apoptotic process involved in development [GO:1902742]; embryo development ending in birth or egg hatching [GO:0009792]; engulfment of apoptotic cell [GO:0043652]; execution phase of apoptosis [GO:0097194]; phosphatidylserine exposure on apoptotic cell surface [GO:0070782]; programmed cell death [GO:0012501]
O76373	C-terminal protein deglutamylation [GO:0035609]; oviposition [GO:0018991]; protein deglutamylation [GO:0035608]; protein side chain deglutamylation [GO:0035610]
P34556	anterior/posterior axis specification, embryo [GO:0008595]; cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; meiotic cell cycle [GO:0051321]; mitotic cell cycle [GO:0000278]; mitotic G2 DNA damage checkpoint [GO:0007095]; oocyte maturation [GO:0001556]; positive regulation of meiotic cell cycle [GO:0051446]; positive regulation of meiotic nuclear division [GO:0045836]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; protein phosphorylation [GO:0006468]
Q9XXH8	apoptotic process [GO:0006915]; endocytosis [GO:0006897]; negative regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process [GO:1902647]; negative regulation of protein kinase activity [GO:0006469]; positive regulation of endosome to plasma membrane protein transport [GO:1905751]; protein transport [GO:0015031]
G5ECW5	inhibition of cysteine-type endopeptidase activity involved in apoptotic process [GO:1990001]; negative regulation of apoptotic process [GO:0043066]; negative regulation of apoptotic process involved in development [GO:1904746]; positive regulation of apoptotic process involved in development [GO:1904747]; positive regulation of embryonic development [GO:0040019]; positive regulation of locomotion involved in locomotory behavior [GO:0090326]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of oviposition [GO:1901046]
Q95XP7	
Q21346	defense response to virus [GO:0051607]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]
P52011	protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]
O45679	cysteine biosynthetic process from serine [GO:0006535]
O62220	
O61235	hydrogen peroxide catabolic process [GO:0042744]; response to hydrogen peroxide [GO:0042542]
O76337	apoptotic process involved in development [GO:1902742]; engulfment of apoptotic cell [GO:0043652]; establishment of mitotic spindle orientation [GO:0000132]; left/right axis specification [GO:0070986]; positive regulation of apoptotic process involved in development [GO:1904747]; positive regulation of distal tip cell migration [GO:1903356]; positive regulation of engulfment of apoptotic cell [GO:1901076]; programmed cell death [GO:0012501]
Q9XVS3	
W6RTA4	calcium-ion regulated exocytosis [GO:0017156]; cellular response to calcium ion [GO:0071277]; maintenance of presynaptic active zone structure [GO:0048790]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of dopamine secretion [GO:0014059]; spontaneous synaptic transmission [GO:0098814]; synaptic vesicle clustering [GO:0097091]; synaptic vesicle exocytosis [GO:0016079]; vesicle-mediated transport [GO:0016192]
P34271	chemical synaptic transmission [GO:0007268]; determination of adult lifespan [GO:0008340]; endocytosis [GO:0006897]; ion transmembrane transport [GO:0034220]; nervous system process [GO:0050877]; positive regulation of oviposition [GO:1901046]; regulation of endocytosis [GO:0030100]; regulation of membrane potential [GO:0042391]; response to caloric restriction [GO:0061771]; response to paraquat [GO:1901562]; signal transduction [GO:0007165]
P52714	proteolysis involved in cellular protein catabolic process [GO:0051603]
Q09637	extracellular matrix organization [GO:0030198]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]
P34552	endocytic recycling [GO:0032456]; endosome organization [GO:0007032]; protein localization to organelle [GO:0033365]; regulation of protein catabolic process [GO:0042176]
G5EDL5	cellular lipid metabolic process [GO:0044255]; epoxide metabolic process [GO:0097176]
Q27487	determination of adult lifespan [GO:0008340]; hydrogen peroxide catabolic process [GO:0042744]; peroxisome organization [GO:0007031]; response to hydrogen peroxide [GO:0042542]
Q95YF3	apoptotic process [GO:0006915]; cytoplasmic mRNA processing body assembly [GO:0033962]; determination of adult lifespan [GO:0008340]; gamete generation [GO:0007276]; mRNA metabolic process [GO:0016071]; negative regulation of apoptotic process [GO:0043066]; negative regulation of translation [GO:0017148]; oogenesis [GO:0048477]; spermatogenesis [GO:0007283]; stress granule assembly [GO:0034063]
P34618	
G5EFV5	cell division [GO:0051301]; mitotic cell cycle, embryonic [GO:0045448]; mRNA transcription [GO:0009299]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]
Q9GS00	multicellular organism development [GO:0007275]; oogenesis [GO:0048477]; protein deneddylation [GO:0000338]
O01592	cysteine biosynthetic process from serine [GO:0006535]
P34804	collagen and cuticulin-based cuticle development [GO:0040002]
Q17389	cell cycle [GO:0007049]; cell division [GO:0051301]; determination of adult lifespan [GO:0008340]; embryo development ending in birth or egg hatching [GO:0009792]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of centrosome duplication [GO:0010826]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of mitotic cell cycle [GO:0045930]; nematode larval development [GO:0002119]; positive regulation of apoptotic process [GO:0043065]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of cell size [GO:0008361]; regulation of protein stability [GO:0031647]; reproduction [GO:0000003]; response to starvation [GO:0042594]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]
P34355	fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088]; pheromone biosynthetic process [GO:0042811]
Q9U389	autophagosome assembly [GO:0000045]; regulation of autophagy [GO:0010506]
Q09585	positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell population proliferation [GO:0042127]; regulation of transcription by RNA polymerase II [GO:0006357]; sleep [GO:0030431]
O44441	heme biosynthetic process [GO:0006783]; negative regulation of ATPase activity [GO:0032780]; negative regulation of nucleotide metabolic process [GO:0045980]
G5EEI4	programmed cell death [GO:0012501]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
Q20779	aerobic respiration [GO:0009060]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]
Q09455	
Q19705	cortical microtubule organization [GO:0043622]; embryo development ending in birth or egg hatching [GO:0009792]; female genitalia development [GO:0030540]; mitotic cytokinesis [GO:0000281]; positive regulation of microtubule polymerization [GO:0031116]
P53489	Arp2/3 complex-mediated actin nucleation [GO:0034314]; epithelial cell migration [GO:0010631]; gastrulation [GO:0007369]; morphogenesis of embryonic epithelium [GO:0016331]
Q23192	alpha-tubulin acetylation [GO:0071929]; neuron development [GO:0048666]; protein acetylation [GO:0006473]; regulation of microtubule cytoskeleton organization [GO:0070507]; thigmotaxis [GO:0001966]
Q9NEZ7	intraciliary retrograde transport [GO:0035721]; non-motile cilium assembly [GO:1905515]; protein localization to cilium [GO:0061512]
O44739	chaperone cofactor-dependent protein refolding [GO:0051085]
P20163	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]; ubiquitin-dependent ERAD pathway [GO:0030433]
G5ED41	protein ubiquitination [GO:0016567]; regulation of protein deneddylation [GO:0060625]; SCF complex assembly [GO:0010265]
G5EG14	gonad development [GO:0008406]; mRNA cis splicing, via spliceosome [GO:0045292]; positive regulation of cell migration [GO:0030335]; regulation of cell migration [GO:0030334]; regulation of gene expression [GO:0010468]; regulation of Wnt signaling pathway [GO:0030111]
G5EDK5	anterior/posterior axon guidance [GO:0033564]; cell-cell adhesion [GO:0098609]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; interneuron axon guidance [GO:0097376]
Q94126	apoptotic process [GO:0006915]; positive regulation of programmed cell death [GO:0043068]; regulation of transcription by RNA polymerase II [GO:0006357]
Q9U2Y2	regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic cell cycle [GO:0007346]
