Entry	Gene ontology (biological process)
P49573	cellular copper ion homeostasis [GO:0006878]; copper ion import [GO:0015677]
Q06159	autophagy of nucleus [GO:0044804]; reticulophagy [GO:0061709]
P0CX77	asparagine catabolic process [GO:0006530]; cellular response to nitrogen starvation [GO:0006995]
P80428	ATP-dependent chromatin remodeling [GO:0043044]; chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; histone acetylation [GO:0016573]; histone H4 acetylation [GO:0043967]; kinetochore assembly [GO:0051382]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]
P40518	actin cortical patch organization [GO:0044396]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; mitochondrion inheritance [GO:0000001]
P40580	
P47113	cell division [GO:0051301]; mitotic spindle orientation checkpoint [GO:0031578]; negative regulation of exit from mitosis [GO:0001100]; regulation of Ras protein signal transduction [GO:0046578]
P53829	mRNA catabolic process [GO:0006402]; negative regulation of translation [GO:0017148]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]
P53894	budding cell apical bud growth [GO:0007118]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; establishment or maintenance of cell polarity [GO:0007163]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of fungal-type cell wall organization [GO:0060237]; regulation of protein secretion [GO:0050708]; septum digestion after cytokinesis [GO:0000920]
P09119	cell division [GO:0051301]; DNA replication initiation [GO:0006270]; G1/S transition of mitotic cell cycle [GO:0000082]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]; regulation of chromatin silencing at telomere [GO:0031938]; regulation of DNA-dependent DNA replication initiation [GO:0030174]
P32797	cell cycle [GO:0007049]; cell division [GO:0051301]; negative regulation of telomerase activity [GO:0051974]; regulation of telomere maintenance via telomerase [GO:0032210]; ribonucleoprotein complex localization [GO:0071166]; telomere capping [GO:0016233]; telomere maintenance [GO:0000723]; telomere maintenance via telomerase [GO:0007004]
Q03705	DNA recombination [GO:0006310]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell aging [GO:0090342]; telomere maintenance [GO:0000723]; telomere maintenance via recombination [GO:0000722]; tRNA modification [GO:0006400]
Q06675	cell division [GO:0051301]; centromere complex assembly [GO:0034508]; establishment of mitotic sister chromatid cohesion [GO:0034087]; meiotic cell cycle [GO:0051321]; negative regulation of meiotic DNA double-strand break formation involved in reciprocal meiotic recombination [GO:1905262]; protein localization to chromosome, centromeric region [GO:0071459]
P32657	ATP-dependent chromatin remodeling [GO:0043044]; histone H2B conserved C-terminal lysine ubiquitination [GO:0071894]; negative regulation of DNA-dependent DNA replication [GO:2000104]; negative regulation of histone exchange [GO:1900050]; negative regulation of histone H3-K14 acetylation [GO:0071441]; negative regulation of histone H3-K9 acetylation [GO:2000616]; nucleosome mobilization [GO:0042766]; nucleosome organization [GO:0034728]; nucleosome positioning [GO:0016584]; regulation of chromatin organization [GO:1902275]; regulation of nucleosome density [GO:0060303]; regulation of transcriptional start site selection at RNA polymerase II promoter [GO:0001178]; sister chromatid cohesion [GO:0007062]; termination of RNA polymerase II transcription [GO:0006369]; termination of RNA polymerase I transcription [GO:0006363]; transcription elongation from RNA polymerase II promoter [GO:0006368]
P11433	cellular bud site selection [GO:0000282]; chemotropism [GO:0043577]; establishment of cell polarity [GO:0030010]; intracellular signal transduction [GO:0035556]; protein localization to cell cortex [GO:0072697]; regulation of exit from mitosis [GO:0007096]; septin ring organization [GO:0031106]
Q07897	
Q08955	meiotic chromosome segregation [GO:0045132]; meiotic telomere clustering [GO:0045141]; regulation of reciprocal meiotic recombination [GO:0010520]; sporulation resulting in formation of a cellular spore [GO:0030435]; synapsis [GO:0007129]
P53301	carbohydrate metabolic process [GO:0005975]; cell wall chitin metabolic process [GO:0006037]; fungal-type cell wall organization [GO:0031505]
P13711	fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088]
Q02895	cellular aldehyde metabolic process [GO:0006081]
P39010	negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0090029]; protein palmitoylation [GO:0018345]; protein targeting to membrane [GO:0006612]; regulation of endocytosis [GO:0030100]
P36117	endocytosis [GO:0006897]; positive regulation of ubiquitin-dependent endocytosis [GO:2000397]; protein transport [GO:0015031]; regulation of intracellular transport [GO:0032386]; ubiquitin-dependent endocytosis [GO:0070086]
Q12449	cellular response to heat [GO:0034605]; positive regulation of ATPase activity [GO:0032781]; protein folding [GO:0006457]
P40851	axial cellular bud site selection [GO:0007120]; cytogamy [GO:0000755]; peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion [GO:0071432]
P47176	branched-chain amino acid biosynthetic process [GO:0009082]; branched-chain amino acid catabolic process [GO:0009083]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; L-methionine salvage from methylthioadenosine [GO:0019509]; valine biosynthetic process [GO:0009099]
Q12140	
P14905	positive regulation of mitochondrial translation [GO:0070131]
Q12018	cell division [GO:0051301]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]
P38221	CDP-diacylglycerol biosynthetic process [GO:0016024]; phosphatidylinositol metabolic process [GO:0046488]; phosphatidylserine metabolic process [GO:0006658]
P10614	ergosterol biosynthetic process [GO:0006696]; oxidation-reduction process [GO:0055114]; sterol biosynthetic process [GO:0016126]; sterol metabolic process [GO:0016125]
P36090	
P38207	base-excision repair [GO:0006284]
P38700	Golgi to vacuole transport [GO:0006896]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
Q12142	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; late nucleophagy [GO:0044805]; piecemeal microautophagy of the nucleus [GO:0034727]; protein localization to phagophore assembly site [GO:0034497]; reticulophagy [GO:0061709]
P47117	actin cortical patch organization [GO:0044396]; Arp2/3 complex-mediated actin nucleation [GO:0034314]
P32504	chromosome segregation [GO:0007059]; mitotic spindle elongation [GO:0000022]; septin ring assembly [GO:0000921]
P33322	box H/ACA snoRNA 3'-end processing [GO:0000495]; cell cycle [GO:0007049]; cell division [GO:0051301]; mRNA pseudouridine synthesis [GO:1990481]; rRNA modification [GO:0000154]; rRNA processing [GO:0006364]; rRNA pseudouridine synthesis [GO:0031118]; snRNA pseudouridine synthesis [GO:0031120]
P53836	activation of protein kinase activity [GO:0032147]; regulation of mitotic cell cycle [GO:0007346]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
P32582	cysteine biosynthetic process from serine [GO:0006535]; cysteine biosynthetic process via cystathionine [GO:0019343]; homocysteine metabolic process [GO:0050667]; hydrogen sulfide biosynthetic process [GO:0070814]; transsulfuration [GO:0019346]; traversing start control point of mitotic cell cycle [GO:0007089]
P32562	cell division [GO:0051301]; exit from mitosis [GO:0010458]; mitotic cell cycle [GO:0000278]; negative regulation of protein localization to nucleolus [GO:1904750]; positive regulation of cohesin unloading [GO:1905339]; positive regulation of mitotic spindle pole body separation [GO:0010696]; positive regulation of protein localization to cell division site involved in mitotic actomyosin contractile ring assembly [GO:0110083]; positive regulation of Rho protein signal transduction [GO:0035025]; protein phosphorylation [GO:0006468]; regulation of cytokinesis [GO:0032465]; regulation of nucleus organization [GO:1903353]; regulation of protein localization to mitotic spindle pole body [GO:1902542]; resolution of meiotic recombination intermediates [GO:0000712]; spindle assembly involved in meiosis [GO:0090306]; synaptonemal complex disassembly [GO:0070194]
Q08032	DNA replication initiation [GO:0006270]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication preinitiation complex assembly [GO:1902977]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; regulation of chromatin silencing at telomere [GO:0031938]
Q12262	cell division [GO:0051301]; chromosome segregation [GO:0007059]; establishment of mitotic sister chromatid cohesion [GO:0034087]; meiotic cell cycle [GO:0051321]
P40202	metal ion transport [GO:0030001]; protein maturation by copper ion transfer [GO:0015680]; removal of superoxide radicals [GO:0019430]
Q12734	fungal-type cell wall organization [GO:0031505]; protein transport [GO:0015031]; regulation of transcription by RNA polymerase II [GO:0006357]; ubiquitin-dependent endocytosis [GO:0070086]
P38287	glycosphingolipid biosynthetic process [GO:0006688]; mannosyl-inositol phosphorylceramide biosynthetic process [GO:0051999]; sphingolipid biosynthetic process [GO:0030148]
P19454	cellular response to DNA damage stimulus [GO:0006974]; cellular response to osmotic stress [GO:0071470]; donor selection [GO:0007535]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of transcription by RNA polymerase I [GO:0006356]; regulation of transcription by RNA polymerase III [GO:0006359]; rRNA methylation [GO:0031167]
P08679	carbohydrate metabolic process [GO:0005975]; citrate metabolic process [GO:0006101]; tricarboxylic acid cycle [GO:0006099]
P04039	mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]
P47081	mitochondrial cytochrome c oxidase assembly [GO:0033617]
P00401	aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory electron transport chain [GO:0022904]
P37898	glycogen metabolic process [GO:0005977]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]
P10127	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; fermentation [GO:0006113]
P43633	cellular response to DNA damage stimulus [GO:0006974]; intracellular signal transduction [GO:0035556]; mitotic cell cycle [GO:0000278]; protein phosphorylation [GO:0006468]
P38929	calcium ion transport [GO:0006816]; cellular calcium ion homeostasis [GO:0006874]; transmembrane transport [GO:0055085]
Q12386	ATP-dependent chromatin remodeling [GO:0043044]; cellular response to DNA damage stimulus [GO:0006974]; chromatin remodeling [GO:0006338]; DNA duplex unwinding [GO:0032508]; double-strand break repair [GO:0006302]; mitotic recombination [GO:0006312]; regulation of transcription, DNA-templated [GO:0006355]
P06182	cytochrome c-heme linkage [GO:0018063]
P00546	7-methylguanosine mRNA capping [GO:0006370]; cell division [GO:0051301]; cellular protein catabolic process [GO:0044257]; DNA double-strand break processing [GO:0000729]; double-strand break repair via nonhomologous end joining [GO:0006303]; G1/S transition of mitotic cell cycle [GO:0000082]; meiotic DNA double-strand break processing [GO:0000706]; mitotic sister chromatid biorientation [GO:1990758]; mitotic spindle assembly [GO:0090307]; negative regulation of DNA replication origin binding [GO:1902596]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; negative regulation of meiotic cell cycle [GO:0051447]; negative regulation of mitotic actomyosin contractile ring assembly [GO:1903500]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of sister chromatid cohesion [GO:0045875]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of glycogen catabolic process [GO:0045819]; positive regulation of meiotic cell cycle [GO:0051446]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of mitotic DNA damage checkpoint [GO:1904291]; positive regulation of mitotic spindle pole body separation [GO:0010696]; positive regulation of nuclear cell cycle DNA replication [GO:0010571]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of trehalose catabolic process [GO:1901319]; positive regulation of triglyceride catabolic process [GO:0010898]; post-Golgi vesicle-mediated transport [GO:0006892]; protein localization to nuclear periphery [GO:1990139]; protein localization to nucleus [GO:0034504]; protein localization to spindle microtubule [GO:1902889]; protein phosphorylation [GO:0006468]; regulation of budding cell apical bud growth [GO:0010568]; regulation of cellular protein localization [GO:1903827]; regulation of filamentous growth [GO:0010570]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of gene expression [GO:0010468]; regulation of nucleosome density [GO:0060303]; regulation of protein localization to chromatin [GO:1905634]; regulation of spindle assembly [GO:0090169]; regulation of telomere maintenance via telomerase [GO:0032210]; synaptonemal complex assembly [GO:0007130]; telomere maintenance [GO:0000723]
P43621	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi inheritance [GO:0048313]; Golgi localization [GO:0051645]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]
P40512	protein deneddylation [GO:0000338]
P53195	cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; intra-Golgi vesicle-mediated transport [GO:0006891]
P00330	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol biosynthetic process involved in glucose fermentation to ethanol [GO:0043458]; NADH oxidation [GO:0006116]; regulation of viral genome replication [GO:0045069]
Q08548	glycerophospholipid biosynthetic process [GO:0046474]; lipid modification [GO:0030258]
P39721	
P25649	histone acetylation [GO:0016573]
P34233	chromatin organization [GO:0006325]; negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter [GO:1900477]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter [GO:1900461]
P40467	positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription, DNA-templated [GO:0006351]
P32447	chromatin silencing at telomere [GO:0006348]; DNA replication-dependent nucleosome assembly [GO:0006335]; DNA replication-independent nucleosome assembly [GO:0006336]; histone acetylation [GO:0016573]; histone displacement [GO:0001207]; histone exchange [GO:0043486]; histone H2B ubiquitination [GO:0033523]; nucleosome disassembly [GO:0006337]; positive regulation of histone acetylation [GO:0035066]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; regulation of gene expression [GO:0010468]; regulation of protein phosphorylation [GO:0001932]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]; silent mating-type cassette heterochromatin assembly [GO:0030466]
P38772	box C/D snoRNP assembly [GO:0000492]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosome biogenesis [GO:0042254]; snoRNA localization [GO:0048254]; snoRNA metabolic process [GO:0016074]
P43573	formation of translation preinitiation complex [GO:0001731]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA polymerase I assembly [GO:1990113]; RNA polymerase II core complex assembly [GO:1990114]; RNA polymerase III assembly [GO:1990115]
P14772	bilirubin transport [GO:0015723]; cadmium ion transport [GO:0015691]; transmembrane transport [GO:0055085]; vacuole fusion, non-autophagic [GO:0042144]
Q12128	activation of GTPase activity [GO:0090630]; negative regulation of Rho protein signal transduction [GO:0035024]; positive regulation of GTPase activity [GO:0043547]; regulation of fungal-type cell wall organization [GO:0060237]; signal transduction [GO:0007165]
P50077	calcium ion transport [GO:0006816]; regulation of ion transmembrane transport [GO:0034765]
Q12510	cellular response to DNA damage stimulus [GO:0006974]; regulation of DNA damage checkpoint [GO:2000001]
P08019	glycogen catabolic process [GO:0005980]; sporulation resulting in formation of a cellular spore [GO:0030435]
Q06598	antimonite transport [GO:0015699]; arsenite transport [GO:0015700]; response to arsenic-containing substance [GO:0046685]
Q12349	ATP synthesis coupled proton transport [GO:0015986]; cristae formation [GO:0042407]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]
P41697	actin filament bundle assembly [GO:0051017]; astral microtubule organization [GO:0030953]; bipolar cellular bud site selection [GO:0007121]; budding cell apical bud growth [GO:0007118]; establishment of cell polarity [GO:0030010]; extrachromosomal circular DNA localization involved in cell aging [GO:0034652]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; positive regulation of formin-nucleated actin cable assembly [GO:0090338]; pseudohyphal growth [GO:0007124]; regulation of actin nucleation [GO:0051125]; regulation of protein localization [GO:0032880]
Q08492	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]
P53630	biotin biosynthetic process [GO:0009102]
P35203	kinetochore assembly [GO:0051382]; septin ring assembly [GO:0000921]
Q06350	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]; sporulation resulting in formation of a cellular spore [GO:0030435]
