Entry	Entry name	Status	Length	Gene ontology (molecular function)
Q00731	VEGFA_MOUSE	reviewed	214	chemoattractant activity [GO:0042056]; cytokine activity [GO:0005125]; extracellular matrix binding [GO:0050840]; fibronectin binding [GO:0001968]; growth factor activity [GO:0008083]; growth factor binding [GO:0019838]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; neuropilin binding [GO:0038191]; platelet-derived growth factor receptor binding [GO:0005161]; protein heterodimerization activity [GO:0046982]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]; vascular endothelial growth factor receptor 1 binding [GO:0043183]; vascular endothelial growth factor receptor 2 binding [GO:0043184]; vascular endothelial growth factor receptor binding [GO:0005172]
Q8C0M0	WDR59_MOUSE	reviewed	992	
P99031	ULAK_MOUSE	reviewed	9	
Q6ZPG2	WDR90_MOUSE	reviewed	1874	microtubule binding [GO:0008017]
Q9CWR1	WDR73_MOUSE	reviewed	371	
P35969	VGFR1_MOUSE	reviewed	1333	ATP binding [GO:0005524]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; placental growth factor-activated receptor activity [GO:0036332]; protein homodimerization activity [GO:0042803]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor-activated receptor activity [GO:0005021]; vascular endothelial growth factor binding [GO:0038085]; VEGF-A-activated receptor activity [GO:0036326]; VEGF-B-activated receptor activity [GO:0036327]; VEGF-C-activated receptor activity [GO:0036328]
Q8K0T7	UN13C_MOUSE	reviewed	2210	calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; diacylglycerol binding [GO:0019992]; non-kinase phorbol ester receptor activity [GO:0001566]; phospholipid binding [GO:0005543]; syntaxin-1 binding [GO:0017075]; syntaxin binding [GO:0019905]
Q6R653	UN5CL_MOUSE	reviewed	518	netrin receptor activity [GO:0005042]; peptidase activity [GO:0008233]
Q8BLN6	UNC80_MOUSE	reviewed	3261	cation channel activity [GO:0005261]
Q64727	VINC_MOUSE	reviewed	1066	actin filament binding [GO:0051015]; alpha-catenin binding [GO:0045294]; dystroglycan binding [GO:0002162]; Rho GTPase binding [GO:0017048]; structural molecule activity [GO:0005198]; ubiquitin protein ligase binding [GO:0031625]
Q80VC6	TSAP1_MOUSE	reviewed	287	tRNA binding [GO:0000049]
O08747	UNC5C_MOUSE	reviewed	931	netrin receptor activity [GO:0005042]; netrin receptor activity involved in chemorepulsion [GO:0005043]; protein kinase binding [GO:0019901]; tubulin binding [GO:0015631]
Q8BGG0	ZNT8_MOUSE	reviewed	367	protein homodimerization activity [GO:0042803]; zinc ion transmembrane transporter activity [GO:0005385]
Q3V080	ZN583_MOUSE	reviewed	568	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q9Z2D0	MTMR9_MOUSE	reviewed	545	enzyme regulator activity [GO:0030234]; protein phosphatase binding [GO:0019903]
Q9CQF4	MRES1_MOUSE	reviewed	240	RNA binding [GO:0003723]
Q99MH5	NDK5_MOUSE	reviewed	211	nucleoside diphosphate kinase activity [GO:0004550]
Q9JIB0	MOG1_MOUSE	reviewed	185	guanyl-nucleotide exchange factor activity [GO:0005085]; ion channel binding [GO:0044325]; Ran GTPase binding [GO:0008536]; Ran guanyl-nucleotide exchange factor activity [GO:0005087]; sodium channel regulator activity [GO:0017080]
Q8R3C6	RBM19_MOUSE	reviewed	952	RNA binding [GO:0003723]
Q7TPG7	TAFA2_MOUSE	reviewed	131	receptor ligand activity [GO:0048018]
P17563	SBP1_MOUSE	reviewed	472	methanethiol oxidase activity [GO:0018549]; selenium binding [GO:0008430]
P23950	TISB_MOUSE	reviewed	338	14-3-3 protein binding [GO:0071889]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA binding [GO:0003729]
P06335	TCC4_MOUSE	reviewed	190	
Q8CH09	SUGP2_MOUSE	reviewed	1067	RNA binding [GO:0003723]
Q99N14	TKN4_MOUSE	reviewed	128	receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]; substance K receptor binding [GO:0031837]; substance P receptor binding [GO:0031835]
P60867	RS20_MOUSE	reviewed	119	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
B2RVY9	TM182_MOUSE	reviewed	229	
Q8VCT9	TESK2_MOUSE	reviewed	570	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
P97499	TEP1_MOUSE	reviewed	2629	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; p53 binding [GO:0002039]; RNA binding [GO:0003723]; telomerase activity [GO:0003720]; telomerase RNA binding [GO:0070034]
Q9Z1L4	XLRS1_MOUSE	reviewed	224	phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; phosphatidylserine binding [GO:0001786]
Q9JHJ7	TEST_MOUSE	reviewed	324	serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]
Q9D6H5	ZDHC4_MOUSE	reviewed	343	protein-cysteine S-palmitoyltransferase activity [GO:0019706]
Q64267	XPA_MOUSE	reviewed	272	damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]
B7ZMP1	XPP3_MOUSE	reviewed	506	aminopeptidase activity [GO:0004177]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]; protein homodimerization activity [GO:0042803]
Q9CX47	XRCC2_MOUSE	reviewed	278	ATP binding [GO:0005524]; DNA-dependent ATPase activity [GO:0008094]; four-way junction DNA binding [GO:0000400]
Q8BGK6	YLAT2_MOUSE	reviewed	515	antiporter activity [GO:0015297]; L-amino acid transmembrane transporter activity [GO:0015179]
P06325	TVC4_MOUSE	reviewed	135	
Q8C0R0	UBP37_MOUSE	reviewed	979	cysteine-type endopeptidase activity [GO:0004197]; protein kinase binding [GO:0019901]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]
P10755	ZFP14_MOUSE	reviewed	501	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q9JLM4	ZMYM3_MOUSE	reviewed	1370	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
Q8BH57	WDR48_MOUSE	reviewed	676	ubiquitin binding [GO:0043130]
Q8BZW4	ZN120_MOUSE	reviewed	436	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
Q8CE64	ZN276_MOUSE	reviewed	614	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
E9QAG8	ZN431_MOUSE	reviewed	526	chromatin binding [GO:0003682]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
Q8VCW4	UN93B_MOUSE	reviewed	598	Toll-like receptor binding [GO:0035325]
Q9ERR8	ZN319_MOUSE	reviewed	581	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q9D2D7	ZN687_MOUSE	reviewed	1237	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q8R0T2	ZN768_MOUSE	reviewed	568	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q8BV42	ZN786_MOUSE	reviewed	777	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
P48614	WN10B_MOUSE	reviewed	389	frizzled binding [GO:0005109]; signaling receptor binding [GO:0005102]
Q8BKT6	TSN12_MOUSE	reviewed	305	
Q9D1D1	TSN11_MOUSE	reviewed	253	
Q9DAU9	ZN654_MOUSE	reviewed	571	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q91YT7	YTHD2_MOUSE	reviewed	579	N6-methyladenosine-containing RNA binding [GO:1990247]
A6H6E9	TT23L_MOUSE	reviewed	458	
Q8VE09	TT39C_MOUSE	reviewed	580	
P28047	WNT7B_MOUSE	reviewed	349	chemoattractant activity involved in axon guidance [GO:1902379]; frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]
P10761	ZP3_MOUSE	reviewed	424	acrosin binding [GO:0032190]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; receptor ligand activity [GO:0048018]; structural constituent of egg coat [GO:0035804]
Q3UFS0	ZY11B_MOUSE	reviewed	744	
Q8BRU6	VMAT2_MOUSE	reviewed	517	amine transmembrane transporter activity [GO:0005275]; drug binding [GO:0008144]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; monoamine transmembrane transporter activity [GO:0008504]; serotonin:sodium symporter activity [GO:0005335]; xenobiotic transmembrane transporter activity [GO:0042910]
Q9WTR6	XCT_MOUSE	reviewed	502	L-amino acid transmembrane transporter activity [GO:0015179]
P40336	VP26A_MOUSE	reviewed	327	
Q91ZB9	MRGB5_MOUSE	reviewed	322	G protein-coupled receptor activity [GO:0004930]
Q69ZX6	MOR2A_MOUSE	reviewed	1030	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; histone binding [GO:0042393]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]
Q9R1X5	MRP5_MOUSE	reviewed	1436	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; efflux transmembrane transporter activity [GO:0015562]; organic anion transmembrane transporter activity [GO:0008514]; xenobiotic transmembrane transporter activity [GO:0042910]
P27612	PLAP_MOUSE	reviewed	794	phospholipase A2 activator activity [GO:0016005]; ubiquitin binding [GO:0043130]
Q3UMT1	PP12C_MOUSE	reviewed	782	enzyme inhibitor activity [GO:0004857]; phosphatase regulator activity [GO:0019208]; protein kinase binding [GO:0019901]
Q9DBG6	RPN2_MOUSE	reviewed	631	ribosome binding [GO:0043022]
Q6PHN9	RAB35_MOUSE	reviewed	201	GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]
Q8BFU3	RN214_MOUSE	reviewed	668	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
Q3V3A7	RN207_MOUSE	reviewed	635	chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; ion channel binding [GO:0044325]; zinc ion binding [GO:0008270]
Q7TN89	RASE_MOUSE	reviewed	227	GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]
B0V2N1	PTPRS_MOUSE	reviewed	1907	chondroitin sulfate binding [GO:0035374]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; phosphoprotein phosphatase activity [GO:0004721]; protein tyrosine phosphatase activity [GO:0004725]
P28828	PTPRM_MOUSE	reviewed	1452	cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; protein tyrosine phosphatase activity [GO:0004725]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
P70665	SIAE_MOUSE	reviewed	541	sialate O-acetylesterase activity [GO:0001681]
Q8VEB2	SAV1_MOUSE	reviewed	386	identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]
O54988	SLK_MOUSE	reviewed	1233	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
P23881	TCEA3_MOUSE	reviewed	347	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
P56840	TCLB1_MOUSE	reviewed	116	protein serine/threonine kinase activator activity [GO:0043539]
O88968	TCO2_MOUSE	reviewed	430	cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]
P63072	UBD_MOUSE	reviewed	162	proteasome binding [GO:0070628]
Q9CQW1	YKT6_MOUSE	reviewed	198	protein-cysteine S-palmitoyltransferase activity [GO:0019706]; SNAP receptor activity [GO:0005484]
P25976	UBF1_MOUSE	reviewed	765	chromatin binding [GO:0003682]; RNA polymerase I cis-regulatory region sequence-specific DNA binding [GO:0001165]; RNA polymerase I core promoter sequence-specific DNA binding [GO:0001164]; scaffold protein binding [GO:0097110]
Q9JMA1	UBP14_MOUSE	reviewed	493	endopeptidase inhibitor activity [GO:0004866]; proteasome binding [GO:0070628]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]
Q99LG0	UBP16_MOUSE	reviewed	825	cysteine-type endopeptidase activity [GO:0004197]; histone binding [GO:0042393]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; transcription coactivator activity [GO:0003713]; ubiquitin binding [GO:0043130]; zinc ion binding [GO:0008270]
Q8BJQ2	UBP1_MOUSE	reviewed	784	cysteine-type endopeptidase activity [GO:0004197]; peptidase activity [GO:0008233]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]
Q99P25	TXIP1_MOUSE	reviewed	704	
O54885	TYOBP_MOUSE	reviewed	114	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; signaling receptor binding [GO:0005102]
Q8JZZ0	UD3A2_MOUSE	reviewed	523	glucuronosyltransferase activity [GO:0015020]; UDP-glycosyltransferase activity [GO:0008194]
P17717	UDB17_MOUSE	reviewed	530	glucuronosyltransferase activity [GO:0015020]; UDP-glycosyltransferase activity [GO:0008194]
Q91X58	ZFN2B_MOUSE	reviewed	257	K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]; polyubiquitin modification-dependent protein binding [GO:0031593]; ubiquitin binding [GO:0043130]; zinc ion binding [GO:0008270]
O88623	UBP2_MOUSE	reviewed	613	cyclin binding [GO:0030332]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; ubiquitin protein ligase binding [GO:0031625]
P80314	TCPB_MOUSE	reviewed	535	ATP binding [GO:0005524]; protein folding chaperone [GO:0044183]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
A2ACG1	TLDC2_MOUSE	reviewed	198	
Q9WVB2	TLE2_MOUSE	reviewed	767	repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]
Q62440	TLE1_MOUSE	reviewed	770	chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
P26039	TLN1_MOUSE	reviewed	2541	actin filament binding [GO:0051015]; integrin binding [GO:0005178]; LIM domain binding [GO:0030274]; phosphatidylinositol binding [GO:0035091]; phosphatidylserine binding [GO:0001786]; structural constituent of cytoskeleton [GO:0005200]; vinculin binding [GO:0017166]
Q8BGP5	TM127_MOUSE	reviewed	238	Rab GTPase binding [GO:0017137]
Q8K304	TM129_MOUSE	reviewed	362	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
Q922G7	TEKT2_MOUSE	reviewed	430	
Q8BZ10	TM11G_MOUSE	reviewed	417	serine-type endopeptidase activity [GO:0004252]
B1AQL3	TM235_MOUSE	reviewed	211	
O08759	UBE3A_MOUSE	reviewed	870	metal ion binding [GO:0046872]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q8BXJ8	Z385B_MOUSE	reviewed	482	nucleic acid binding [GO:0003676]; p53 binding [GO:0002039]; zinc ion binding [GO:0008270]
Q9DCH6	ZFAN6_MOUSE	reviewed	223	DNA binding [GO:0003677]; polyubiquitin modification-dependent protein binding [GO:0031593]; zinc ion binding [GO:0008270]
Q3UHF7	ZEP2_MOUSE	reviewed	2430	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
E9Q4P1	WDFY1_MOUSE	reviewed	410	1-phosphatidylinositol binding [GO:0005545]; metal ion binding [GO:0046872]
E9Q349	WDR25_MOUSE	reviewed	535	
O54836	ZMAT3_MOUSE	reviewed	290	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Q3U2E2	ZMYM5_MOUSE	reviewed	627	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
Q8C0R7	ZMY15_MOUSE	reviewed	736	histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]
Q920I9	WDR7_MOUSE	reviewed	1489	
E9Q6W4	ZN296_MOUSE	reviewed	445	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]
Q9JHY4	WF15B_MOUSE	reviewed	80	peptidase inhibitor activity [GO:0030414]
Q6KAS7	ZN521_MOUSE	reviewed	1311	metal ion binding [GO:0046872]; protein domain specific binding [GO:0019904]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]
P35441	TSP1_MOUSE	reviewed	1170	calcium ion binding [GO:0005509]; collagen V binding [GO:0070052]; extracellular matrix binding [GO:0050840]; fibrinogen binding [GO:0070051]; fibroblast growth factor binding [GO:0017134]; fibronectin binding [GO:0001968]; heparin binding [GO:0008201]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; low-density lipoprotein particle binding [GO:0030169]; phosphatidylserine binding [GO:0001786]; transforming growth factor beta binding [GO:0050431]
P13438	TSP_MOUSE	reviewed	124	
Q8BZ34	ZN641_MOUSE	reviewed	422	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
P04426	WNT1_MOUSE	reviewed	370	cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; protein domain specific binding [GO:0019904]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]; transcription regulatory region DNA binding [GO:0044212]
Q6NV66	ZN646_MOUSE	reviewed	1788	metal ion binding [GO:0046872]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]
A7KBS4	ZSC4D_MOUSE	reviewed	506	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]
O70404	VAMP8_MOUSE	reviewed	101	chloride channel inhibitor activity [GO:0019869]; SNAP receptor activity [GO:0005484]; syntaxin binding [GO:0019905]
Q9CQD8	VA0E1_MOUSE	reviewed	81	hydrolase activity [GO:0016787]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
A4Q9F1	TTLL8_MOUSE	reviewed	832	ATP binding [GO:0005524]; protein-glycine ligase activity [GO:0070735]; protein-glycine ligase activity, initiating [GO:0070736]
Q8BWP5	TTPA_MOUSE	reviewed	278	lipid transfer activity [GO:0120013]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; vitamin binding [GO:0019842]; vitamin E binding [GO:0008431]
P52787	IF_MOUSE	reviewed	417	cobalamin binding [GO:0031419]
P01872	IGHM_MOUSE	reviewed	454	antigen binding [GO:0003823]; identical protein binding [GO:0042802]; immunoglobulin receptor binding [GO:0034987]; transmembrane signaling receptor activity [GO:0004888]
Q8BWG4	K1755_MOUSE	reviewed	1187	
Q8C753	K0556_MOUSE	reviewed	1610	
P19639	GSTM3_MOUSE	reviewed	218	glutathione transferase activity [GO:0004364]; protein homodimerization activity [GO:0042803]
Q307W7	KNCN_MOUSE	reviewed	124	
Q8BWJ3	KPB2_MOUSE	reviewed	1235	calmodulin binding [GO:0005516]; catalytic activity [GO:0003824]
Q8K1T4	LY65B_MOUSE	reviewed	194	
Q3TNL8	IPRI_MOUSE	reviewed	555	protein kinase inhibitor activity [GO:0004860]
Q99KS2	NGRN_MOUSE	reviewed	293	rRNA binding [GO:0019843]
A6H690	IQCAL_MOUSE	reviewed	825	ATP binding [GO:0005524]
Q9D7Z7	LYPD5_MOUSE	reviewed	256	laminin binding [GO:0043236]
Q9D0T1	NH2L1_MOUSE	reviewed	128	ATPase binding [GO:0051117]; box C/D snoRNA binding [GO:0034512]; RNA binding [GO:0003723]; U3 snoRNA binding [GO:0034511]; U4atac snRNA binding [GO:0030622]; U4 snRNA binding [GO:0030621]
O70628	PDE9A_MOUSE	reviewed	534	3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]
Q3UW31	PATE2_MOUSE	reviewed	111	
Q6P1Z5	PED1A_MOUSE	reviewed	449	
O88329	MYO1A_MOUSE	reviewed	1043	actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; motor activity [GO:0003774]
Q02566	MYH6_MOUSE	reviewed	1938	actin-dependent ATPase activity [GO:0030898]; actin filament binding [GO:0051015]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; calcium-dependent ATPase activity [GO:0030899]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; protein-containing complex binding [GO:0044877]; protein kinase binding [GO:0019901]
