Entry	Gene ontology (cellular component)
O57521	aryl hydrocarbon receptor complex [GO:0034751]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
B3G515	axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; cytoplasmic vesicle membrane [GO:0030659]; cytoskeleton [GO:0005856]; dendritic spine membrane [GO:0032591]; early endosome [GO:0005769]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; recycling endosome [GO:0055037]
F1RCP1	autophagosome [GO:0005776]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; extrinsic component of membrane [GO:0019898]; Golgi apparatus [GO:0005794]; mitochondrial membrane [GO:0031966]; phagophore assembly site [GO:0000407]; phosphatidylinositol 3-kinase complex, class III, type I [GO:0034271]; phosphatidylinositol 3-kinase complex, class III, type II [GO:0034272]
Q4TVV3	Cajal body [GO:0015030]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q9I9H8	apoptosome [GO:0043293]
Q6NWJ0	
Q567X1	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
F1Q8W0	cytoplasm [GO:0005737]; spliceosomal complex [GO:0005681]
Q92051	cytoplasm [GO:0005737]
Q5PRC0	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q6PHF0	ESCRT III complex [GO:0000815]; multivesicular body [GO:0005771]; nuclear matrix [GO:0016363]
A8Y5U1	
A7E2V1	centriole [GO:0005814]; cytoplasm [GO:0005737]
E7F568	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; ruffle [GO:0001726]
Q91398	cytoplasm [GO:0005737]; protein kinase CK2 complex [GO:0005956]
Q592E4	integral component of membrane [GO:0016021]
B0S5A7	integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q68EI3	cytosol [GO:0005829]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]
Q6PI52	
A8KB87	integral component of mitochondrial inner membrane [GO:0031305]
F1R983	nucleus [GO:0005634]; site of double-strand break [GO:0035861]
Q6NYG4	integral component of membrane [GO:0016021]
Q2KN93	cytoplasm [GO:0005737]; filamentous actin [GO:0031941]; gap junction [GO:0005921]; microtubule organizing center [GO:0005815]; spindle [GO:0005819]
Q1LV15	cilium [GO:0005929]
Q502M6	
Q7ZU90	nucleus [GO:0005634]
Q568D2	motile cilium [GO:0031514]
C7DZK3	collagen trimer [GO:0005581]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]
Q575S8	cytoplasm [GO:0005737]
Q6DC53	cytosol [GO:0005829]
Q4V8Y7	cell junction [GO:0030054]; cytosol [GO:0005829]; invadopodium [GO:0071437]; podosome [GO:0002102]
Q32LR5	tRNA-splicing ligase complex [GO:0072669]
Q58EM4	
A4IGF3	extrinsic component of mitochondrial inner membrane [GO:0031314]
Q6PBQ2	cytoplasmic side of plasma membrane [GO:0009898]; ESCRT III complex [GO:0000815]; multivesicular body [GO:0005771]; nuclear envelope [GO:0005635]
Q4V8Z3	centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; spindle pole [GO:0000922]
Q5U3N7	
P58239	endomembrane system [GO:0012505]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]
Q5U395	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; Nem1-Spo7 phosphatase complex [GO:0071595]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]
Q6P6E6	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A8E7D3	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]
Q8UUR3	cytoplasm [GO:0005737]
E9QJ73	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
Q4V8S9	BORC complex [GO:0099078]; lysosomal membrane [GO:0005765]
A8KB59	
Q7SZP2	
A6H8T2	
Q1ECZ4	cytoplasmic stress granule [GO:0010494]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; U2-type catalytic step 1 spliceosome [GO:0071006]
Q6GML1	cytoplasm [GO:0005737]
Q6DHJ6	mitochondrion [GO:0005739]
Q6DHQ3	apical plasma membrane [GO:0016324]; cytosol [GO:0005829]
Q66HT8	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; site of DNA damage [GO:0090734]
Q6DGA6	
Q7ZWB7	BBSome [GO:0034464]; ciliary basal body [GO:0036064]; ciliary membrane [GO:0060170]; cytoplasm [GO:0005737]
Q90460	axon [GO:0030424]; dendrite [GO:0030425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q6PBK1	
B0UXH9	
A0A0R4IFG5	axoneme [GO:0005930]; ciliary base [GO:0097546]; extracellular region [GO:0005576]
Q5BL21	integral component of membrane [GO:0016021]
Q5TYQ3	mitochondrial intermembrane space [GO:0005758]
Q9YGX5	cytoplasm [GO:0005737]; messenger ribonucleoprotein complex [GO:1990124]; neuron projection [GO:0043005]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; synapse [GO:0045202]
Q7T3Q2	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]
A3KNS9	integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
E7F8F4	nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q66I59	
Q3YL68	Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]
A0JMK8	cytoplasm [GO:0005737]
Q90X49	extracellular region [GO:0005576]
Q56A40	cilium [GO:0005929]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]
Q8JHH5	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A2BGP7	cytoplasm [GO:0005737]
Q6NXD2	cytosol [GO:0005829]; ESCRT III complex [GO:0000815]; late endosome membrane [GO:0031902]; multivesicular body [GO:0005771]
Q6DRC3	cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular region [GO:0005576]
Q5U3Q6	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; lysosome [GO:0005764]; plasma membrane [GO:0005886]
B2ZGJ1	cytoplasm [GO:0005737]; neuron projection [GO:0043005]; synapse [GO:0045202]
Q5CZR5	plasma membrane [GO:0005886]; pore complex [GO:0046930]
Q7ZVI7	actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; cytoskeleton [GO:0005856]; dense body [GO:0097433]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q66I85	post-mRNA release spliceosomal complex [GO:0071014]; U2-type spliceosomal complex [GO:0005684]
Q5SPB6	cytoplasm [GO:0005737]; cytosol [GO:0005829]; trans-Golgi network [GO:0005802]
Q6P3G4	axon [GO:0030424]; axoneme [GO:0005930]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary transition zone [GO:0035869]; cilium [GO:0005929]; mitotic spindle [GO:0072686]; mitotic spindle astral microtubule [GO:0061673]; spindle [GO:0005819]
Q08BW6	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q5BJC4	
Q1RM35	axoneme [GO:0005930]; ciliary base [GO:0097546]; motile cilium [GO:0031514]; nucleus [GO:0005634]
Q6DGK9	
Q501S4	mitochondrion [GO:0005739]
Q6PC29	cytoplasm [GO:0005737]
Q32LS6	integral component of membrane [GO:0016021]; membrane [GO:0016020]
O42145	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
A8E7D2	cytoplasm [GO:0005737]
Q7SYI5	integral component of membrane [GO:0016021]
Q5TYP4	
A8WGT1	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q805E5	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q6P2T7	
Q6TH01	cytoplasm [GO:0005737]
A2BIJ3	
Q567Z7	spliceosomal complex [GO:0005681]
Q6PC91	
Q5XIX8	BORC complex [GO:0099078]; cytoplasmic side of lysosomal membrane [GO:0098574]; intrinsic component of membrane [GO:0031224]; synaptic vesicle membrane [GO:0030672]
Q5XLR4	chromosome, centromeric region [GO:0000775]; chromosome passenger complex [GO:0032133]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle midzone [GO:0051233]
Q6P0H7	mitochondrial matrix [GO:0005759]; oxidoreductase complex [GO:1990204]
Q6DGB6	axoneme [GO:0005930]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; motile cilium [GO:0031514]; outer dynein arm [GO:0036157]
Q7ZW02	endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q6DGV1	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
Q7ZTY6	
Q7ZVX0	host cell nucleus [GO:0042025]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q6DHP1	bicellular tight junction [GO:0005923]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q6PC30	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; synaptic vesicle [GO:0008021]
Q5RGQ8	integral component of membrane [GO:0016021]
Q6DI06	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space protein transporter complex [GO:0042719]
Q6DGJ3	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space protein transporter complex [GO:0042719]
Q6DI35	spliceosomal complex [GO:0005681]; U2-type post-mRNA release spliceosomal complex [GO:0071008]
Q502E0	ciliary membrane [GO:0060170]; ciliary transition zone [GO:0035869]; integral component of membrane [GO:0016021]; MKS complex [GO:0036038]
A5PLF5	integral component of membrane [GO:0016021]
Q4V8S3	integral component of membrane [GO:0016021]
Q6DGW9	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; integral component of endoplasmic reticulum membrane [GO:0030176]
A5WVU9	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q1JPX4	nucleus [GO:0005634]
B5DE31	extracellular exosome [GO:0070062]; nucleus [GO:0005634]; P-body [GO:0000932]
Q7T3T8	cytoplasm [GO:0005737]; protein-containing complex [GO:0032991]
Q4KMD7	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q1JPW9	anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]
Q9W7R3	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q503T5	nucleus [GO:0005634]
Q66I51	integral component of membrane [GO:0016021]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]
Q08CE6	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q7ZV68	cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; retromer complex [GO:0030904]
Q6AXL8	U12-type spliceosomal complex [GO:0005689]
Q5TYQ8	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q1RLT2	integral component of membrane [GO:0016021]; serine C-palmitoyltransferase complex [GO:0017059]
Q5TZ66	cytoplasm [GO:0005737]; membrane [GO:0016020]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; SNARE complex [GO:0031201]; synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex [GO:0070032]
Q6NV38	integral component of membrane [GO:0016021]
Q803I8	endomembrane system [GO:0012505]; Hrd1p ubiquitin ligase complex [GO:0000836]; integral component of membrane [GO:0016021]
F1Q930	ciliary transition zone [GO:0035869]; integral component of membrane [GO:0016021]
B0R0W9	cytosol [GO:0005829]
Q9W7R4	axon [GO:0030424]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; neuron projection [GO:0043005]
Q2YDP8	
A1L2F6	integral component of membrane [GO:0016021]
Q6DBT3	cytosol [GO:0005829]
Q8JHW2	collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]
Q1LXE6	
Q32LT7	chloride channel complex [GO:0034707]; plasma membrane [GO:0005886]
Q7ZWD4	
E7EZF3	cytoplasm [GO:0005737]; euchromatin [GO:0000791]; heterochromatin [GO:0000792]; nuclear chromatin [GO:0000790]; nuclear heterochromatin [GO:0005720]; replication fork [GO:0005657]
P59845	AP-1 adaptor complex [GO:0030121]; AP-2 adaptor complex [GO:0030122]; integral component of membrane [GO:0016021]; terminal bouton [GO:0043195]
Q7ZUX3	cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]
B0CLX4	integral component of membrane [GO:0016021]; neuron projection [GO:0043005]
Q802Y8	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q5BJC1	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; serine C-palmitoyltransferase complex [GO:0017059]
Q7T006	ASTRA complex [GO:0070209]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear chromosome, telomeric region [GO:0000784]; TORC1 complex [GO:0031931]; TORC2 complex [GO:0031932]
Q7SY53	
Q6AZD1	integral component of membrane [GO:0016021]
F1R3W0	RNA polymerase I core factor complex [GO:0070860]; RNA polymerase transcription factor SL1 complex [GO:0005668]
Q8AXX2	nucleus [GO:0005634]
Q32PV5	nucleus [GO:0005634]
Q6DC03	ESC/E(Z) complex [GO:0035098]; nucleus [GO:0005634]; RSC-type complex [GO:0016586]
Q9I9N5	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]; tumor necrosis factor receptor superfamily complex [GO:0002947]
Q6E2N3	nucleus [GO:0005634]
Q1LWB0	
Q24JV4	
Q4VBH4	nucleus [GO:0005634]
X1WER2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
A1L259	peroxisome [GO:0005777]
Q6DEN0	
Q7ZZY8	extracellular region [GO:0005576]
Q7T2F6	
O42477	nucleus [GO:0005634]
Q6NWI4	nucleolus [GO:0005730]
F1QXD3	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of Golgi membrane [GO:0030173]
Q1L8W0	nucleus [GO:0005634]
Q8JGS9	cytosol [GO:0005829]; small ribosomal subunit [GO:0015935]
B3DJT0	ASAP complex [GO:0061574]; Cajal body [GO:0015030]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q7T3C7	mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
Q6P0C7	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network membrane [GO:0032588]
Q2I6J0	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; filopodium [GO:0030175]; lamellipodium [GO:0030027]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q66L49	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q0VFV6	cytoplasmic microtubule [GO:0005881]; Derlin-1 retrotranslocation complex [GO:0036513]; Derlin-1-VIMP complex [GO:0036502]; integral component of endoplasmic reticulum membrane [GO:0030176]
P13104	actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; cytoplasm [GO:0005737]
Q0P4A6	
B0R0T1	mitochondrion [GO:0005739]
A2BGL3	integral component of membrane [GO:0016021]
Q66I14	cytoplasm [GO:0005737]
Q3B7G7	
P0C8M3	apical part of cell [GO:0045177]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular region [GO:0005576]
Q6NWG0	endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]
Q6DI40	
Q5XJA0	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; PML body [GO:0016605]
A8HAL1	nucleus [GO:0005634]
Q6NYU7	cytosol [GO:0005829]; nucleus [GO:0005634]
Q7ZTY7	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q66I71	cytosol [GO:0005829]
Q6NX08	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]
A5WWB6	condensed chromosome kinetochore [GO:0000777]; RZZ complex [GO:1990423]
Q6P0D1	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
Q7SXW2	nucleus [GO:0005634]
Q5BLG4	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic recycling endosome [GO:0098837]
Q6TH47	cleavage furrow [GO:0032154]; endosome [GO:0005768]; membrane [GO:0016020]
Q7ZW33	nucleolus [GO:0005730]
Q6TNP8	cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; endosome membrane [GO:0010008]; retromer complex [GO:0030904]; vesicle [GO:0031982]
Q801E1	nucleus [GO:0005634]
Q6PGV1	early endosome [GO:0005769]; lysosomal membrane [GO:0005765]; plasma membrane proton-transporting V-type ATPase complex [GO:0033181]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]
B0UZC8	AMPA glutamate receptor complex [GO:0032281]; extracellular space [GO:0005615]; synapse [GO:0045202]
Q7ZUS1	cytoplasm [GO:0005737]; Golgi stack [GO:0005795]; nucleus [GO:0005634]
Q08CN9	cell projection [GO:0042995]; endosome membrane [GO:0010008]; lysosomal membrane [GO:0005765]; presynaptic membrane [GO:0042734]
Q6P0T2	cytoplasm [GO:0005737]; transcription factor TFIID complex [GO:0005669]
Q502G2	integral component of membrane [GO:0016021]
E7F6V0	integral component of organelle membrane [GO:0031301]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]
A5PF62	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q504G0	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q6DHJ1	cytoplasm [GO:0005737]
A5PN09	centrosome [GO:0005813]; cytoplasm [GO:0005737]; perinuclear region of cytoplasm [GO:0048471]
Q7ZUM8	nucleus [GO:0005634]
A5PMR2	centrosome [GO:0005813]; cytoplasm [GO:0005737]; perinuclear region of cytoplasm [GO:0048471]
Q6NWF4	ESCRT II complex [GO:0000814]
Q5MD89	cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; nucleus [GO:0005634]; receptor complex [GO:0043235]
Q5RH51	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q6NUX0	extracellular region [GO:0005576]
Q803Z2	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
F1QQA8	nucleus [GO:0005634]
A7UA95	
Q7ZVX5	cytoplasmic microtubule [GO:0005881]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum tubular network [GO:0071782]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
P79737	Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]
Q6NY74	DNA replication factor A complex [GO:0005662]; nuclear chromosome, telomeric region [GO:0000784]; nucleus [GO:0005634]; PML body [GO:0016605]
Q8JI14	apical plasma membrane [GO:0016324]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]
Q7ZW78	cytoplasm [GO:0005737]
Q0P467	integral component of membrane [GO:0016021]
Q6NYD1	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]
Q6DGU5	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; neuron projection [GO:0043005]
A3KPP4	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
Q9W686	extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]
Q5U3H9	cytoplasmic vesicle membrane [GO:0030659]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q6NYV5	histone deacetylase complex [GO:0000118]; nucleolus [GO:0005730]
Q66IC8	
A8WG88	integral component of membrane [GO:0016021]
Q568J8	integral component of membrane [GO:0016021]
Q6PBY7	
A0JMD4	integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]
Q08BV2	
A8CVX7	ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]
Q8AYG3	kinetochore [GO:0000776]; nucleus [GO:0005634]; spindle [GO:0005819]
Q6PBU7	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]
Q7SXP2	cytoplasm [GO:0005737]
A8DZH4	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]
Q7ZVL2	lysosomal membrane [GO:0005765]
A7Y7X5	cytoplasm [GO:0005737]; nucleus [GO:0005634]; vitelline envelope [GO:0060388]
Q6PFK1	
Q6NYA0	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
A5PMX1	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
Q803J8	cytosol [GO:0005829]; nucleus [GO:0005634]
Q7T330	Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q1LVI2	membrane [GO:0016020]; mitochondrion [GO:0005739]
Q7ZZ00	nucleus [GO:0005634]
A0A0R4IYX6	nucleus [GO:0005634]
Q5W8I8	excitatory synapse [GO:0060076]; integral component of membrane [GO:0016021]; integral component of synaptic vesicle membrane [GO:0030285]; neuron projection [GO:0043005]; synaptic vesicle membrane [GO:0030672]
Q5TYV4	cytoplasm [GO:0005737]; early endosome [GO:0005769]; late endosome [GO:0005770]; recycling endosome [GO:0055037]
Q6NW58	axon cytoplasm [GO:1904115]; centrosome [GO:0005813]; integral component of membrane [GO:0016021]; microtubule [GO:0005874]; midbody [GO:0030496]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]
Q9W6S8	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; Gemini of coiled bodies [GO:0097504]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; protein-containing complex [GO:0032991]; SMN complex [GO:0032797]; spliceosomal complex [GO:0005681]; Z disc [GO:0030018]
P0CB65	nucleus [GO:0005634]
Q9DDD7	nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
E7F4N7	autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]
Q8QHJ8	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q6NV31	Set1C/COMPASS complex [GO:0048188]
Q6DRF9	nucleolus [GO:0005730]
Q08C99	chromatin [GO:0000785]
A2CEX1	integral component of membrane [GO:0016021]
